evt_id,acct_id,sub_id,usr_id,old_plan_cd,new_plan_cd,chg_type_cd,chg_reason_cd,req_channel_cd,old_mrr_amt,new_mrr_amt,mrr_delta_amt,proration_amt,evt_ts,eff_dt,proc_ts,evt_status_cd,rollback_flg,manual_override_flg,billing_impact_flg,src_sys_cd,notes_txt,last_upd_ts
EVT000027,AC015,,USR00691,,basic,cancel,feature,sales,0.0,337.0,,,2023-09-06 00:00:00,2023-09-11,2023-09-07 00:00:00,reversed,1,1,0,billing,support correction,2023-09-12 00:00:00
EVT000028,AC060,SUB00543,USR00303,basic,,downgrade,feature,sales,0.0,0.0,-14.14,,2024-05-31 00:00:00,2024-05-23,2024-06-01 00:00:00,failed,0,0,1,billing,,2024-06-02 00:00:00
EVT000029,AC049,SUB01075,USR00033,enterprise,,cancel,support,sales,0.0,,321.49,-37.63,2024-02-07 00:00:00,2024-02-11,2024-02-10 00:00:00,failed,1,1,1,crm,,2024-02-10 00:00:00
EVT000030,AC122,,USR00832,,basic,resume,price,sales,,83.7,-78.04,-16.09,2024-04-29 00:00:00,2024-04-25,2024-05-02 00:00:00,pending,1,0,1,support,support correction,2024-05-04 00:00:00
EVT000031,AC099,SUB00881,USR00136,,pro,upgrade,support,api,0.0,55.4,49.87,-42.1,2023-11-01 00:00:00,2023-10-22,2023-10-31 00:00:00,failed,1,0,0,crm,,2023-11-05 00:00:00
EVT000032,AC068,SUB00427,,,,downgrade,feature,api,64.99,0.0,-55.07,16.44,2023-02-04 00:00:00,2023-02-09,2023-02-07 00:00:00,success,1,1,1,support,support correction,2023-02-09 00:00:00
EVT000033,AC073,SUB01185,,basic,,cancel,feature,api,0.0,0.0,-18.52,,2023-09-18 00:00:00,2023-09-16,2023-09-19 00:00:00,failed,1,1,0,crm,backdated change,2023-09-19 00:00:00
EVT000034,AC115,SUB00013,,enterprise,pro,upgrade,support,support,280.45,0.0,-276.47,-29.66,2023-02-21 00:00:00,2023-02-17,2023-02-22 00:00:00,success,1,1,1,billing,support correction,2023-02-22 00:00:00
EVT000035,AC170,SUB01094,,pro,,cancel,unknown,support,0.0,154.7,,38.37,2023-07-28 00:00:00,2023-07-19,2023-08-02 00:00:00,reversed,1,0,1,support,backdated change,2023-08-05 00:00:00
EVT000036,AC104,SUB00747,USR00167,pro,basic,upgrade,feature,sales,,0.0,0.18,,2024-02-19 00:00:00,2024-02-15,2024-02-17 00:00:00,pending,0,0,0,billing,,2024-02-20 00:00:00
EVT000037,AC081,,USR00398,basic,pro,downgrade,unknown,api,0.0,341.93,337.92,,2023-07-22 00:00:00,2023-07-21,2023-07-22 00:00:00,reversed,1,0,0,billing,backdated change,2023-07-22 00:00:00
EVT000038,AC167,SUB01194,,,enterprise,resume,unknown,api,,201.52,137.97,28.0,2024-07-29 00:00:00,2024-07-20,2024-08-01 00:00:00,reversed,0,1,1,billing,,2024-08-02 00:00:00
EVT000039,AC011,SUB00169,USR00322,basic,basic,resume,feature,ui,45.68,0.0,-33.08,,2024-01-03 00:00:00,2024-01-06,2024-01-06 00:00:00,reversed,1,0,0,billing,support correction,2024-01-10 00:00:00
EVT000040,AC037,SUB00984,,enterprise,pro,cancel,support,ui,271.03,318.67,38.77,,2023-09-16 00:00:00,2023-09-11,2023-09-19 00:00:00,reversed,0,1,0,support,,2023-09-24 00:00:00
EVT000041,AC068,SUB00756,USR00369,enterprise,basic,resume,feature,api,90.57,263.51,173.58,,2024-01-04 00:00:00,2024-01-08,2024-01-03 00:00:00,pending,0,0,0,billing,support correction,2024-01-07 00:00:00
EVT000042,AC157,SUB00046,,enterprise,enterprise,upgrade,support,api,0.0,0.0,,,2024-10-02 00:00:00,2024-10-05,2024-10-06 00:00:00,reversed,0,0,0,billing,backdated change,2024-10-09 00:00:00
EVT000043,AC003,,USR00359,,,downgrade,feature,ui,,152.64,-121.81,,2023-04-09 00:00:00,2023-04-01,2023-04-09 00:00:00,success,0,0,0,crm,backdated change,2023-04-13 00:00:00
EVT000044,AC077,SUB00979,USR00007,,,resume,price,sales,0.0,0.0,5.76,,2024-09-14 00:00:00,2024-09-24,2024-09-18 00:00:00,pending,0,1,1,support,support correction,2024-09-20 00:00:00
EVT000045,AC052,SUB00670,,,enterprise,downgrade,unknown,sales,0.0,0.0,,,2024-10-19 00:00:00,2024-10-15,2024-10-18 00:00:00,failed,1,0,1,support,,2024-10-22 00:00:00
EVT000046,AC089,SUB00059,,pro,basic,upgrade,price,ui,0.0,0.0,,3.39,2023-06-25 00:00:00,2023-06-19,2023-06-23 00:00:00,success,1,0,0,billing,backdated change,2023-06-23 00:00:00
EVT000047,AC026,SUB00420,,enterprise,,cancel,price,support,251.02,0.0,-256.3,,2023-02-04 00:00:00,2023-01-26,2023-02-03 00:00:00,reversed,1,0,1,billing,,2023-02-07 00:00:00
EVT000048,AC148,SUB00349,USR00537,pro,enterprise,upgrade,price,support,0.0,0.0,-12.62,,2023-04-11 00:00:00,2023-04-12,2023-04-16 00:00:00,pending,1,0,1,billing,backdated change,2023-04-19 00:00:00
EVT000049,AC025,SUB00809,USR00764,basic,,upgrade,support,api,0.0,227.22,214.06,13.07,2023-06-19 00:00:00,2023-06-12,2023-06-18 00:00:00,reversed,0,0,1,support,support correction,2023-06-22 00:00:00
EVT000050,AC149,SUB00685,USR00714,pro,pro,cancel,support,api,67.47,247.39,184.04,,2023-06-09 00:00:00,2023-06-13,2023-06-12 00:00:00,failed,1,0,1,support,,2023-06-13 00:00:00
EVT000051,AC112,SUB00224,USR00110,enterprise,pro,resume,unknown,ui,,282.31,271.21,-20.38,2024-11-04 00:00:00,2024-10-28,2024-11-05 00:00:00,success,0,1,1,billing,backdated change,2024-11-08 00:00:00
EVT000052,AC117,SUB00533,USR00101,,pro,resume,feature,support,0.0,0.0,,1.83,2024-08-10 00:00:00,2024-08-18,2024-08-14 00:00:00,failed,1,0,1,crm,,2024-08-14 00:00:00
EVT000053,AC148,SUB00420,USR00525,basic,enterprise,cancel,unknown,sales,0.0,0.0,10.51,,2023-09-15 00:00:00,2023-09-22,2023-09-16 00:00:00,pending,0,1,1,crm,,2023-09-16 00:00:00
EVT000054,AC058,SUB00821,USR00540,pro,,resume,feature,api,276.32,0.0,-270.95,,2023-01-14 00:00:00,2023-01-06,2023-01-18 00:00:00,failed,0,1,1,crm,support correction,2023-01-22 00:00:00
EVT000055,AC176,SUB00873,USR00494,basic,enterprise,cancel,feature,support,0.0,108.25,91.67,-34.72,2024-10-27 00:00:00,2024-10-21,2024-11-01 00:00:00,pending,1,0,0,support,support correction,2024-11-02 00:00:00
EVT000056,AC065,SUB01185,,pro,pro,resume,support,api,0.0,334.08,338.46,47.72,2024-06-27 00:00:00,2024-06-28,2024-06-25 00:00:00,success,1,0,1,support,backdated change,2024-06-29 00:00:00
EVT000057,AC122,SUB00120,USR00148,,pro,resume,feature,ui,175.42,0.0,-175.52,,2023-03-22 00:00:00,2023-03-26,2023-03-21 00:00:00,reversed,1,1,1,support,,2023-03-22 00:00:00
EVT000058,AC025,SUB00993,USR00148,basic,pro,resume,feature,support,,245.25,256.39,,2024-10-14 00:00:00,2024-10-15,2024-10-12 00:00:00,failed,1,1,1,crm,support correction,2024-10-16 00:00:00
EVT000059,AC130,SUB00417,USR00811,basic,enterprise,downgrade,support,support,119.45,153.23,,-10.11,2023-02-23 00:00:00,2023-02-22,2023-02-25 00:00:00,reversed,0,1,1,billing,,2023-02-25 00:00:00
EVT000060,AC055,,USR00641,pro,basic,downgrade,price,sales,240.93,0.0,-246.18,28.65,2023-07-14 00:00:00,2023-07-19,2023-07-12 00:00:00,pending,1,0,1,billing,support correction,2023-07-12 00:00:00
EVT000061,AC148,SUB00829,USR00015,,pro,resume,unknown,ui,,292.17,297.25,,2024-03-17 00:00:00,2024-03-25,2024-03-15 00:00:00,success,0,0,0,billing,backdated change,2024-03-18 00:00:00
EVT000062,AC178,SUB00173,,,,cancel,price,ui,,,337.22,,2023-01-19 00:00:00,2023-01-17,2023-01-20 00:00:00,pending,1,0,1,support,,2023-01-22 00:00:00
EVT000063,AC093,SUB00336,USR00428,,,resume,support,support,0.0,,8.13,-16.8,2024-01-12 00:00:00,2024-01-20,2024-01-17 00:00:00,success,0,1,1,billing,,2024-01-20 00:00:00
EVT000064,AC068,SUB00323,USR00836,basic,enterprise,downgrade,feature,support,246.09,247.22,12.21,,2024-01-21 00:00:00,2024-01-30,2024-01-22 00:00:00,success,1,1,0,support,backdated change,2024-01-24 00:00:00
EVT000065,AC099,SUB00180,USR00364,basic,pro,resume,support,support,0.0,0.0,,,2024-09-13 00:00:00,2024-09-04,2024-09-17 00:00:00,failed,1,1,1,crm,backdated change,2024-09-18 00:00:00
EVT000066,AC040,SUB00063,USR00532,basic,basic,upgrade,feature,sales,262.58,0.0,-271.39,,2023-02-15 00:00:00,2023-02-20,2023-02-18 00:00:00,reversed,0,1,0,crm,backdated change,2023-02-19 00:00:00
EVT000067,AC125,SUB00132,USR00656,,basic,upgrade,support,support,34.28,307.32,279.83,,2024-01-23 00:00:00,2024-01-15,2024-01-21 00:00:00,reversed,0,1,0,support,backdated change,2024-01-22 00:00:00
EVT000068,AC067,SUB00991,,pro,enterprise,upgrade,feature,support,0.0,0.0,-1.17,,2023-02-09 00:00:00,2023-02-07,2023-02-12 00:00:00,reversed,0,1,1,crm,backdated change,2023-02-15 00:00:00
EVT000069,AC057,,USR00383,pro,,upgrade,unknown,ui,0.0,0.0,12.92,,2023-09-02 00:00:00,2023-08-27,2023-08-31 00:00:00,pending,0,1,0,support,,2023-09-01 00:00:00
EVT000070,AC064,SUB00556,USR00304,enterprise,pro,cancel,unknown,ui,0.0,107.91,,-44.31,2024-04-07 00:00:00,2024-04-14,2024-04-07 00:00:00,failed,1,1,0,crm,backdated change,2024-04-09 00:00:00
EVT000071,AC042,,USR00301,pro,basic,resume,support,api,0.0,148.75,140.21,,2024-03-18 00:00:00,2024-03-16,2024-03-19 00:00:00,success,1,0,1,support,backdated change,2024-03-20 00:00:00
EVT000072,AC156,SUB00561,,pro,pro,cancel,feature,ui,,0.0,8.87,,2023-07-04 00:00:00,2023-07-10,2023-07-05 00:00:00,pending,1,1,1,billing,,2023-07-08 00:00:00
EVT000073,AC148,SUB00010,USR00457,basic,basic,cancel,feature,support,89.54,32.1,-41.52,,2024-05-03 00:00:00,2024-04-27,2024-05-05 00:00:00,success,1,1,0,support,backdated change,2024-05-05 00:00:00
EVT000074,AC143,SUB00062,,pro,enterprise,upgrade,unknown,api,0.0,53.88,62.56,,2023-09-07 00:00:00,2023-08-30,2023-09-08 00:00:00,success,1,1,1,billing,,2023-09-08 00:00:00
EVT000075,AC102,SUB00038,USR00399,,basic,resume,price,support,0.0,240.7,238.12,30.44,2024-02-20 00:00:00,2024-02-14,2024-02-21 00:00:00,pending,1,0,1,support,backdated change,2024-02-26 00:00:00
EVT000076,AC018,SUB00412,USR00022,pro,pro,resume,unknown,sales,0.0,0.0,15.39,,2023-12-28 00:00:00,2023-12-25,2024-01-01 00:00:00,pending,1,0,0,crm,,2024-01-05 00:00:00
EVT000077,AC166,SUB00124,USR00527,enterprise,basic,resume,feature,sales,286.24,57.3,-232.68,,2023-01-14 00:00:00,2023-01-17,2023-01-15 00:00:00,failed,0,1,1,support,backdated change,2023-01-20 00:00:00
EVT000078,AC080,,USR00194,,,upgrade,support,api,149.05,222.22,72.83,,2024-01-31 00:00:00,2024-01-27,2024-02-03 00:00:00,failed,1,0,0,billing,,2024-02-07 00:00:00
EVT000079,AC134,SUB00317,USR00685,enterprise,pro,downgrade,support,ui,164.76,0.0,-165.75,20.86,2023-12-23 00:00:00,2023-12-27,2023-12-21 00:00:00,failed,1,0,0,crm,,2023-12-24 00:00:00
EVT000080,AC098,SUB00938,,enterprise,enterprise,cancel,unknown,sales,137.01,,-117.42,,2024-02-12 00:00:00,2024-02-20,2024-02-12 00:00:00,pending,0,1,0,crm,,2024-02-16 00:00:00
EVT000081,AC110,SUB00022,,enterprise,,cancel,support,sales,0.0,0.0,-4.42,,2023-08-26 00:00:00,2023-08-18,2023-08-29 00:00:00,pending,1,0,0,support,backdated change,2023-08-29 00:00:00
EVT000082,AC125,SUB00704,USR00765,basic,pro,cancel,support,support,0.0,310.35,294.77,18.99,2024-02-24 00:00:00,2024-02-25,2024-02-28 00:00:00,reversed,0,1,0,support,backdated change,2024-03-02 00:00:00
EVT000083,AC001,SUB01133,,enterprise,,upgrade,price,ui,0.0,0.0,-9.36,3.15,2023-07-06 00:00:00,2023-06-27,2023-07-05 00:00:00,failed,0,1,0,billing,backdated change,2023-07-09 00:00:00
EVT000084,AC120,SUB00128,USR00701,enterprise,pro,downgrade,support,support,0.0,332.79,,8.23,2024-06-05 00:00:00,2024-05-29,2024-06-03 00:00:00,pending,0,1,1,billing,,2024-06-04 00:00:00
EVT000085,AC041,SUB00356,USR00888,,enterprise,resume,support,sales,0.0,,7.0,,2024-02-10 00:00:00,2024-02-18,2024-02-08 00:00:00,reversed,1,1,1,billing,backdated change,2024-02-08 00:00:00
EVT000086,AC102,SUB00236,USR00893,,enterprise,resume,price,ui,0.0,340.61,336.1,,2023-06-27 00:00:00,2023-06-22,2023-06-30 00:00:00,pending,0,1,0,crm,,2023-07-02 00:00:00
EVT000087,AC143,SUB00492,,enterprise,pro,resume,unknown,api,45.94,0.0,-31.6,44.21,2023-06-09 00:00:00,2023-06-06,2023-06-09 00:00:00,pending,1,1,0,crm,backdated change,2023-06-10 00:00:00
EVT000088,AC008,SUB01163,,basic,,upgrade,feature,api,171.93,262.86,,,2023-05-06 00:00:00,2023-05-12,2023-05-05 00:00:00,pending,1,0,0,support,support correction,2023-05-05 00:00:00
EVT000089,AC119,SUB00271,USR00181,basic,enterprise,cancel,unknown,ui,248.71,113.18,-121.66,,2023-08-20 00:00:00,2023-08-19,2023-08-20 00:00:00,success,0,1,0,crm,backdated change,2023-08-25 00:00:00
EVT000090,AC040,SUB00081,USR00645,pro,pro,resume,support,sales,0.0,162.13,146.6,15.54,2024-11-24 00:00:00,2024-11-15,2024-11-28 00:00:00,success,0,0,0,billing,support correction,2024-11-29 00:00:00
EVT000091,AC072,SUB00715,USR00435,,enterprise,resume,price,api,214.51,0.0,-229.4,-45.63,2023-12-20 00:00:00,2023-12-12,2023-12-24 00:00:00,pending,0,0,0,support,support correction,2023-12-25 00:00:00
EVT000092,AC036,SUB00997,USR00244,pro,basic,resume,feature,support,0.0,86.47,89.97,,2023-03-02 00:00:00,2023-02-25,2023-03-05 00:00:00,success,1,0,0,support,,2023-03-08 00:00:00
EVT000093,AC072,SUB00227,USR00459,basic,pro,cancel,unknown,sales,23.46,0.0,-41.64,,2023-07-31 00:00:00,2023-07-24,2023-08-02 00:00:00,reversed,0,1,1,billing,,2023-08-05 00:00:00
EVT000094,AC168,SUB00284,USR00026,,pro,cancel,support,api,0.0,232.69,239.97,,2024-05-15 00:00:00,2024-05-11,2024-05-18 00:00:00,pending,1,1,0,support,support correction,2024-05-20 00:00:00
EVT000095,AC062,,,,basic,downgrade,unknown,sales,174.32,296.48,125.4,,2023-08-24 00:00:00,2023-08-25,2023-08-24 00:00:00,failed,0,0,1,support,,2023-08-24 00:00:00
EVT000096,AC037,SUB00114,USR00432,enterprise,basic,resume,price,api,73.43,20.92,-54.78,,2023-02-10 00:00:00,2023-02-14,2023-02-15 00:00:00,pending,0,1,0,support,support correction,2023-02-19 00:00:00
EVT000097,AC174,SUB00609,USR00432,enterprise,,downgrade,support,support,0.0,0.0,-11.1,19.14,2024-04-16 00:00:00,2024-04-19,2024-04-16 00:00:00,failed,1,1,1,support,backdated change,2024-04-20 00:00:00
EVT000098,AC141,SUB00454,USR00260,basic,pro,cancel,unknown,api,0.0,0.0,-15.48,,2024-03-27 00:00:00,2024-03-29,2024-03-29 00:00:00,success,1,0,1,billing,,2024-04-03 00:00:00
EVT000099,AC145,SUB00191,,basic,,downgrade,price,support,,0.0,-254.07,,2024-06-11 00:00:00,2024-06-04,2024-06-16 00:00:00,failed,1,0,0,support,,2024-06-21 00:00:00
EVT000100,AC066,SUB00764,USR00538,enterprise,,upgrade,support,ui,228.72,0.0,-247.35,-25.76,2023-12-30 00:00:00,2023-12-25,2024-01-02 00:00:00,pending,0,1,0,support,,2024-01-02 00:00:00
EVT000101,AC176,SUB00296,USR00257,enterprise,,upgrade,price,support,40.65,81.14,21.76,-42.54,2023-01-22 00:00:00,2023-01-27,2023-01-21 00:00:00,reversed,1,0,1,crm,backdated change,2023-01-25 00:00:00
EVT000102,AC151,SUB00433,,enterprise,,cancel,unknown,sales,0.0,0.0,-0.66,,2024-06-13 00:00:00,2024-06-05,2024-06-16 00:00:00,failed,1,0,0,support,backdated change,2024-06-18 00:00:00
EVT000103,AC179,,USR00790,basic,pro,resume,price,support,160.0,0.0,-148.13,,2024-01-29 00:00:00,2024-01-27,2024-01-28 00:00:00,success,1,1,1,support,backdated change,2024-01-30 00:00:00
EVT000104,AC129,SUB00499,USR00358,pro,pro,downgrade,price,sales,36.93,241.68,221.93,,2024-07-17 00:00:00,2024-07-19,2024-07-20 00:00:00,failed,1,1,1,support,support correction,2024-07-20 00:00:00
EVT000105,AC092,SUB00878,USR00070,,enterprise,downgrade,support,support,183.78,211.56,17.26,,2023-07-14 00:00:00,2023-07-22,2023-07-13 00:00:00,success,1,1,0,support,support correction,2023-07-17 00:00:00
EVT000106,AC021,,USR00590,enterprise,pro,upgrade,feature,support,0.0,0.0,16.92,,2024-10-25 00:00:00,2024-10-18,2024-10-26 00:00:00,pending,0,1,1,support,support correction,2024-10-27 00:00:00
EVT000107,AC066,SUB00028,,enterprise,enterprise,upgrade,unknown,support,44.42,,232.83,-14.22,2023-02-28 00:00:00,2023-03-03,2023-02-26 00:00:00,pending,1,1,0,support,support correction,2023-02-27 00:00:00
EVT000108,AC144,SUB01072,USR00281,pro,enterprise,upgrade,unknown,ui,233.73,235.04,20.89,,2024-09-25 00:00:00,2024-09-23,2024-09-30 00:00:00,success,0,0,0,billing,backdated change,2024-10-04 00:00:00
EVT000109,AC136,,USR00249,,,downgrade,support,sales,0.0,0.0,-15.69,-43.46,2023-07-06 00:00:00,2023-07-04,2023-07-09 00:00:00,reversed,1,0,0,support,,2023-07-12 00:00:00
EVT000110,AC062,SUB00417,USR00436,enterprise,enterprise,resume,feature,api,0.0,106.57,124.74,,2024-01-20 00:00:00,2024-01-30,2024-01-21 00:00:00,pending,1,0,1,billing,,2024-01-22 00:00:00
EVT000111,AC093,,USR00450,pro,,downgrade,support,ui,0.0,0.0,-14.66,,2023-06-15 00:00:00,2023-06-15,2023-06-20 00:00:00,pending,0,0,1,support,,2023-06-20 00:00:00
EVT000112,AC161,SUB00078,,pro,,upgrade,price,ui,0.0,0.0,-15.18,,2024-02-29 00:00:00,2024-02-29,2024-03-04 00:00:00,failed,1,0,0,billing,backdated change,2024-03-09 00:00:00
EVT000113,AC090,SUB00459,USR00280,pro,basic,cancel,support,ui,168.38,0.0,,45.19,2024-07-12 00:00:00,2024-07-18,2024-07-11 00:00:00,pending,0,1,0,support,,2024-07-15 00:00:00
EVT000114,AC139,SUB00310,USR00395,,pro,upgrade,feature,support,213.28,151.76,-48.5,-41.32,2023-10-16 00:00:00,2023-10-23,2023-10-19 00:00:00,success,0,1,1,support,,2023-10-23 00:00:00
EVT000115,AC131,SUB01119,USR00241,,enterprise,upgrade,unknown,support,0.0,176.25,181.41,,2024-11-15 00:00:00,2024-11-15,2024-11-20 00:00:00,failed,1,1,1,support,support correction,2024-11-24 00:00:00
EVT000116,AC135,SUB00347,USR00245,pro,pro,resume,feature,ui,0.0,326.02,323.14,,2024-08-26 00:00:00,2024-08-31,2024-08-27 00:00:00,pending,1,0,1,crm,support correction,2024-08-30 00:00:00
EVT000117,AC163,SUB00358,USR00154,basic,pro,cancel,unknown,api,130.75,249.36,108.72,,2024-11-09 00:00:00,2024-11-01,2024-11-11 00:00:00,success,1,0,0,crm,support correction,2024-11-13 00:00:00
EVT000118,AC023,SUB00867,USR00298,enterprise,basic,resume,unknown,support,,193.31,190.55,-24.32,2023-09-19 00:00:00,2023-09-16,2023-09-21 00:00:00,failed,1,0,0,support,support correction,2023-09-21 00:00:00
EVT000119,AC101,SUB01018,USR00659,basic,basic,resume,unknown,sales,0.0,269.49,267.08,,2024-11-12 00:00:00,2024-11-08,2024-11-15 00:00:00,success,0,0,1,support,,2024-11-20 00:00:00
EVT000120,AC020,SUB00032,,basic,pro,resume,price,api,235.38,0.0,,-8.21,2023-10-29 00:00:00,2023-11-05,2023-11-01 00:00:00,failed,1,0,0,crm,support correction,2023-11-02 00:00:00
EVT000121,AC081,SUB00612,USR00524,,basic,cancel,support,api,296.83,0.0,-306.55,,2024-06-14 00:00:00,2024-06-04,2024-06-14 00:00:00,success,0,1,1,support,,2024-06-19 00:00:00
EVT000122,AC081,,,enterprise,basic,cancel,feature,sales,280.53,0.0,-276.85,,2024-08-20 00:00:00,2024-08-14,2024-08-23 00:00:00,reversed,0,0,0,billing,,2024-08-28 00:00:00
EVT000123,AC047,,USR00755,pro,,downgrade,support,api,0.0,288.72,297.33,,2023-05-08 00:00:00,2023-04-29,2023-05-08 00:00:00,reversed,0,0,0,billing,,2023-05-09 00:00:00
EVT000124,AC011,SUB00915,,pro,enterprise,downgrade,support,support,0.0,0.0,,48.01,2024-11-05 00:00:00,2024-11-03,2024-11-10 00:00:00,reversed,0,1,1,billing,support correction,2024-11-11 00:00:00
EVT000125,AC086,SUB00235,,enterprise,basic,downgrade,price,support,0.0,,275.9,-29.95,2024-11-01 00:00:00,2024-11-08,2024-10-31 00:00:00,pending,1,0,0,billing,,2024-11-02 00:00:00
