tckt_id,acct_ref,sub_ref,tckt_cat,prio_cd,tckt_stat,opened_ts,first_resp_ts,resolved_ts,assigned_agent,contact_channel,sla_hrs,csat_score,internal_note
TCK00040,AC087,SUB01629,feature_request,urgent,resolved ,2022-12-25 00:00:00,2022-12-25 13:00:00,2022-12-26 02:00:00,A. Kowalska,chat,48.0,4.0,
TCK00041,AC027,SUB01346,other,medium,pending,2022-12-26 00:00:00,2022-12-26 12:00:00,2023-01-03 22:00:00,,email,4.0,3.0,customer angry
TCK00042,AC024,SUB02186,technical,urgent,pending,2022-11-23 00:00:00,2022-11-23 13:00:00,,John Miller,EMAIL,4.0,3.0,billing escalation
TCK00043,AC098,SUB01298,technical,,closed,2023-09-21 00:00:00,2023-09-21 03:00:00,2023-09-28 03:00:00,Sarah Brown,email,4.0,3.0,follow up needed
TCK00044,AC025,SUB01999,other,high,resolved ,2022-07-14 00:00:00,2022-07-16 22:00:00,2022-07-24 17:00:00,Emily Davis,phone,8.0,1.0,customer angry
TCK00045,AC092,SUB00148,account,low,closed,2023-02-07 00:00:00,2023-02-09 14:00:00,,John Miller,phone,,4.0,follow up needed
TCK00046,AC089,SUB00962,technical,high,open,2022-04-10 00:00:00,,,,email,24.0,4.0,
TCK00047,AC155,SUB01178,other,urgent,pending,2023-05-16 00:00:00,2023-05-17 09:00:00,,Tom Wilson,web,24.0,2.0,
TCK00048,AC068,SUB00371,account,,open,2022-02-15 00:00:00,2022-02-17 11:00:00,2022-02-26 10:00:00,Sarah Brown,,4.0,1.0,
TCK00049,AC012,SUB00404,feature_request,,closed,2024-04-07 00:00:00,2024-04-08 05:00:00,2024-04-17 05:00:00,,,48.0,5.0,follow up needed
TCK00050,AC118,SUB00412,billing,,reopened,2023-05-03 00:00:00,2023-05-05 02:00:00,2023-05-12 17:00:00,,EMAIL,,2.0,customer angry
TCK00051,AC138,SUB01227,technical,medium,open,2024-02-15 00:00:00,2024-02-15 21:00:00,2024-02-24 12:00:00,A. Kowalska,email,48.0,2.0,follow up needed
TCK00052,AC032,SUB00189,billing,low,closed,2024-05-04 00:00:00,2024-05-05 16:00:00,2024-05-15 11:00:00,,web,,3.0,
TCK00053,AC097,SUB00230,other,,closed,2023-06-17 00:00:00,2023-06-17 01:00:00,2023-06-23 17:00:00,John Miller,web,8.0,2.0,billing escalation
TCK00054,AC021,SUB01536,billing,high,reopened,2023-08-26 00:00:00,2023-08-26 12:00:00,2023-09-01 13:00:00,Tom Wilson,web,24.0,4.0,
TCK00055,AC142,SUB01001,feature_request,medium,reopened,2023-08-09 00:00:00,2023-08-09 04:00:00,,A. Kowalska,email,48.0,3.0,follow up needed
TCK00056,AC076,SUB02319,account,high,resolved,2022-02-20 00:00:00,2022-02-21 10:00:00,2022-02-21 16:00:00,Emily Davis,web,4.0,2.0,follow up needed
TCK00057,AC161,SUB00738,account,urgent,reopened,2022-11-04 00:00:00,2022-11-06 08:00:00,2022-11-09 19:00:00,John Miller,chat,48.0,2.0,
TCK00058,AC159,,billing,,pending,2024-01-29 00:00:00,2024-01-31 18:00:00,2024-02-09 13:00:00,John Miller,phone,,4.0,follow up needed
TCK00059,AC093,,technical,medium,open,2024-03-10 00:00:00,2024-03-13 00:00:00,,Marek Nowak,email,48.0,1.0,
TCK00060,AC148,SUB02539,feature_request,low,resolved ,2023-12-23 00:00:00,2023-12-24 23:00:00,2023-12-30 09:00:00,Anna Kowalska,chat,24.0,4.0,billing escalation
TCK00061,AC050,SUB02039,account,medium,resolved,2023-04-02 00:00:00,2023-04-04 12:00:00,2023-04-08 06:00:00,John Miller,phone,4.0,4.0,customer angry
TCK00062,AC018,SUB00587,technical,medium,resolved,2022-06-16 00:00:00,2022-06-17 03:00:00,2022-06-24 01:00:00,A. Kowalska,EMAIL,4.0,,customer angry
TCK00063,AC012,SUB01041,technical,high,reopened,2023-05-01 00:00:00,2023-05-01 22:00:00,2023-05-02 01:00:00,Emily Davis,,24.0,4.0,
TCK00064,AC170,SUB00039,,,reopened,2024-05-22 00:00:00,2024-05-23 08:00:00,2024-05-26 14:00:00,A. Kowalska,EMAIL,4.0,1.0,billing escalation
TCK00065,AC059,SUB01906,other,high,resolved,2023-11-10 00:00:00,2023-11-11 23:00:00,2023-11-18 08:00:00,John Miller,web,4.0,3.0,
TCK00066,AC075,SUB02239,,high,pending,2023-10-18 00:00:00,2023-10-19 11:00:00,2023-10-27 02:00:00,Sarah Brown,EMAIL,8.0,1.0,billing escalation
TCK00067,AC021,,feature_request,high,resolved,2023-02-18 00:00:00,2023-02-18 17:00:00,2023-02-25 17:00:00,A. Kowalska,web,48.0,,customer angry
TCK00068,AC060,SUB01416,technical,,resolved ,2023-08-21 00:00:00,2023-08-22 00:00:00,2023-08-29 15:00:00,,,24.0,5.0,
TCK00069,AC026,SUB01226,billing,urgent,pending,2024-05-15 00:00:00,2024-05-17 23:00:00,,Emily Davis,,,2.0,
TCK00070,AC098,SUB01738,account,medium,resolved ,2023-11-02 00:00:00,,,Emily Davis,web,24.0,3.0,
TCK00071,AC072,SUB01872,,,reopened,2023-08-23 00:00:00,2023-08-23 15:00:00,2023-09-01 21:00:00,John Miller,web,8.0,5.0,customer angry
TCK00072,AC117,SUB00816,technical,medium,pending,2024-06-07 00:00:00,2024-06-09 19:00:00,2024-06-10 09:00:00,Tom Wilson,web,,4.0,follow up needed
TCK00073,AC163,SUB01980,account,medium,resolved,2022-11-20 00:00:00,2022-11-20 23:00:00,2022-11-26 04:00:00,Anna Kowalska,email,48.0,3.0,follow up needed
TCK00074,AC094,,billing,medium,reopened,2024-02-19 00:00:00,2024-02-19 20:00:00,2024-02-28 00:00:00,A. Kowalska,,48.0,4.0,
TCK00075,AC042,SUB01471,account,low,resolved,2023-05-04 00:00:00,2023-05-04 04:00:00,2023-05-12 00:00:00,,chat,4.0,,customer angry
TCK00076,AC095,SUB01210,account,medium,open,2023-10-04 00:00:00,2023-10-05 04:00:00,2023-10-08 21:00:00,A. Kowalska,EMAIL,,3.0,follow up needed
TCK00077,AC091,,,,reopened,2022-03-08 00:00:00,2022-03-09 14:00:00,2022-03-14 11:00:00,,phone,48.0,,follow up needed
TCK00078,AC054,SUB01622,technical,urgent,open,2022-12-17 00:00:00,2022-12-19 14:00:00,2022-12-21 15:00:00,Marek Nowak,chat,8.0,2.0,customer angry
TCK00079,AC172,SUB02319,billing,urgent,resolved ,2023-08-27 00:00:00,2023-08-27 15:00:00,2023-09-03 14:00:00,Emily Davis,EMAIL,,1.0,billing escalation
TCK00080,AC069,SUB00201,billing,urgent,closed,2022-02-19 00:00:00,2022-02-19 02:00:00,,A. Kowalska,email,,3.0,
TCK00081,AC180,SUB02035,billing,,resolved,2023-12-20 00:00:00,2023-12-20 01:00:00,2023-12-27 03:00:00,Sarah Brown,web,4.0,5.0,billing escalation
TCK00082,AC175,SUB01173,technical,high,reopened,2022-05-01 00:00:00,2022-05-01 13:00:00,2022-05-08 01:00:00,Marek Nowak,phone,48.0,3.0,follow up needed
TCK00083,AC166,SUB00943,account,medium,open,2022-02-10 00:00:00,2022-02-11 02:00:00,2022-02-16 06:00:00,Anna Kowalska,,4.0,1.0,billing escalation
TCK00084,AC019,SUB01444,,low,resolved,2023-11-17 00:00:00,2023-11-17 11:00:00,2023-11-18 07:00:00,Marek Nowak,web,24.0,3.0,
TCK00085,AC156,SUB00779,technical,low,resolved,2022-02-21 00:00:00,,,Tom Wilson,,24.0,4.0,customer angry
TCK00086,AC163,SUB00561,technical,medium,resolved,2022-04-08 00:00:00,2022-04-08 05:00:00,,Tom Wilson,web,,3.0,customer angry
TCK00087,AC044,SUB02571,feature_request,urgent,resolved,2023-01-17 00:00:00,2023-01-17 23:00:00,,A. Kowalska,,48.0,4.0,follow up needed
TCK00088,AC137,SUB01266,technical,low,closed,2022-04-26 00:00:00,2022-04-26 07:00:00,2022-05-05 08:00:00,,EMAIL,48.0,2.0,billing escalation
TCK00089,AC063,SUB00137,,medium,closed,2023-01-24 00:00:00,2023-01-24 03:00:00,2023-02-02 13:00:00,,email,48.0,4.0,customer angry
TCK00090,AC042,SUB00539,,,resolved ,2022-03-06 00:00:00,2022-03-07 16:00:00,,Marek Nowak,,24.0,5.0,billing escalation
TCK00091,AC119,,technical,urgent,resolved,2023-12-06 00:00:00,2023-12-06 12:00:00,2023-12-14 07:00:00,A. Kowalska,chat,,5.0,customer angry
TCK00092,AC098,SUB01702,feature_request,medium,open,2022-01-12 00:00:00,2022-01-12 20:00:00,2022-01-17 21:00:00,,phone,8.0,3.0,
TCK00093,AC070,,technical,low,closed,2022-02-21 00:00:00,2022-02-23 22:00:00,2022-02-28 06:00:00,,EMAIL,48.0,1.0,
TCK00094,AC164,,billing,urgent,closed,2023-04-03 00:00:00,2023-04-05 15:00:00,2023-04-05 20:00:00,Anna Kowalska,EMAIL,,1.0,customer angry
TCK00095,AC177,SUB01499,technical,urgent,resolved,2024-03-21 00:00:00,2024-03-22 14:00:00,2024-03-28 14:00:00,Tom Wilson,email,8.0,4.0,
TCK00096,AC143,SUB01117,,urgent,open,2023-07-28 00:00:00,2023-07-30 12:00:00,2023-08-03 10:00:00,John Miller,,8.0,1.0,
TCK00097,AC057,SUB01053,,low,open,2022-12-30 00:00:00,2022-12-31 13:00:00,2023-01-04 13:00:00,Sarah Brown,web,8.0,,
TCK00098,AC176,SUB01974,feature_request,medium,closed,2022-04-20 00:00:00,2022-04-21 01:00:00,,Marek Nowak,,24.0,1.0,
TCK00099,AC084,SUB01209,feature_request,,reopened,2022-02-17 00:00:00,2022-02-17 15:00:00,2022-02-22 11:00:00,Sarah Brown,web,4.0,5.0,customer angry
TCK00100,AC015,SUB01388,technical,,pending,2023-07-21 00:00:00,2023-07-23 13:00:00,2023-07-31 21:00:00,Sarah Brown,email,48.0,,billing escalation
TCK00101,AC059,SUB01919,other,medium,resolved,2023-09-13 00:00:00,2023-09-15 16:00:00,2023-09-20 04:00:00,A. Kowalska,phone,24.0,4.0,follow up needed
TCK00102,AC009,SUB00577,other,high,resolved ,2022-05-22 00:00:00,2022-05-24 17:00:00,2022-06-01 05:00:00,,,8.0,2.0,follow up needed
TCK00103,AC081,SUB00925,,medium,reopened,2023-10-02 00:00:00,2023-10-03 20:00:00,2023-10-05 06:00:00,,,24.0,,customer angry
TCK00104,AC103,SUB01628,,urgent,resolved ,2024-02-19 00:00:00,2024-02-21 13:00:00,2024-02-28 16:00:00,,phone,48.0,1.0,billing escalation
TCK00105,AC069,SUB02283,technical,low,resolved ,2022-04-20 00:00:00,,,Anna Kowalska,chat,24.0,2.0,
TCK00106,AC017,SUB01617,technical,,open,2023-12-01 00:00:00,2023-12-01 07:00:00,2023-12-04 11:00:00,Tom Wilson,web,4.0,5.0,billing escalation
TCK00107,AC055,,,high,resolved ,2024-06-04 00:00:00,2024-06-06 23:00:00,2024-06-12 10:00:00,Anna Kowalska,web,48.0,4.0,
TCK00108,AC146,SUB01863,,high,pending,2023-07-20 00:00:00,,,,chat,24.0,5.0,billing escalation
TCK00109,AC081,SUB01074,,low,pending,2024-01-27 00:00:00,2024-01-28 00:00:00,2024-01-29 22:00:00,Sarah Brown,,,1.0,
TCK00110,AC055,SUB01522,other,high,open,2022-02-11 00:00:00,2022-02-13 23:00:00,2022-02-15 17:00:00,Tom Wilson,web,8.0,1.0,follow up needed
TCK00111,AC168,,other,high,open,2022-11-27 00:00:00,2022-11-28 14:00:00,2022-12-04 17:00:00,Tom Wilson,EMAIL,8.0,2.0,billing escalation
TCK00112,AC128,SUB00103,feature_request,low,resolved,2022-03-11 00:00:00,2022-03-11 20:00:00,2022-03-17 14:00:00,Marek Nowak,chat,24.0,3.0,
TCK00113,AC102,SUB02300,,low,open,2022-10-28 00:00:00,2022-10-30 19:00:00,2022-11-05 19:00:00,Tom Wilson,web,8.0,,billing escalation
TCK00114,AC165,SUB02499,feature_request,low,closed,2023-09-29 00:00:00,2023-09-29 05:00:00,2023-10-02 16:00:00,Emily Davis,EMAIL,24.0,1.0,billing escalation
TCK00115,AC118,SUB00259,feature_request,low,resolved,2024-04-21 00:00:00,2024-04-23 17:00:00,2024-04-28 12:00:00,Marek Nowak,phone,,1.0,customer angry
TCK00116,AC037,SUB01902,billing,medium,resolved ,2022-06-21 00:00:00,2022-06-23 20:00:00,2022-06-30 13:00:00,Marek Nowak,,48.0,1.0,follow up needed
TCK00117,AC068,SUB01238,,medium,open,2023-07-05 00:00:00,2023-07-07 07:00:00,2023-07-08 02:00:00,,,24.0,1.0,customer angry
TCK00118,AC036,SUB00478,account,,open,2022-03-17 00:00:00,,,Marek Nowak,phone,48.0,4.0,
TCK00119,AC064,,,low,reopened,2023-10-08 00:00:00,2023-10-09 16:00:00,,Anna Kowalska,,,1.0,billing escalation
TCK00120,AC144,SUB01247,billing,high,resolved ,2022-02-16 00:00:00,2022-02-16 09:00:00,2022-02-21 18:00:00,Emily Davis,EMAIL,4.0,3.0,
TCK00121,AC138,SUB00476,technical,medium,resolved ,2023-01-26 00:00:00,2023-01-26 03:00:00,2023-01-31 20:00:00,A. Kowalska,EMAIL,24.0,,follow up needed
TCK00122,AC068,,other,,pending,2022-11-02 00:00:00,2022-11-03 23:00:00,2022-11-04 02:00:00,John Miller,email,4.0,5.0,billing escalation
TCK00123,AC150,SUB00556,,high,pending,2023-02-08 00:00:00,2023-02-08 10:00:00,2023-02-16 10:00:00,A. Kowalska,,,2.0,follow up needed
TCK00124,AC110,SUB01520,technical,,open,2022-07-08 00:00:00,2022-07-09 08:00:00,,,web,,1.0,
TCK00125,AC150,SUB02213,billing,medium,resolved ,2023-11-19 00:00:00,,,,phone,24.0,2.0,follow up needed
TCK00126,AC103,SUB00633,feature_request,urgent,resolved,2022-04-13 00:00:00,2022-04-13 08:00:00,2022-04-16 18:00:00,Emily Davis,,,2.0,billing escalation
TCK00127,AC093,SUB00406,billing,high,pending,2023-08-04 00:00:00,2023-08-05 16:00:00,2023-08-07 12:00:00,Marek Nowak,,48.0,3.0,
TCK00128,AC057,SUB02522,feature_request,high,resolved,2022-05-18 00:00:00,2022-05-19 18:00:00,2022-05-24 17:00:00,,EMAIL,4.0,2.0,billing escalation
TCK00129,AC036,SUB01146,account,low,resolved ,2022-03-25 00:00:00,2022-03-25 17:00:00,2022-03-27 20:00:00,John Miller,email,,,customer angry
TCK00130,AC131,,billing,,resolved,2024-04-12 00:00:00,2024-04-14 03:00:00,2024-04-16 10:00:00,,EMAIL,48.0,,follow up needed
TCK00131,AC127,SUB01817,other,,open,2023-01-10 00:00:00,2023-01-11 13:00:00,,A. Kowalska,phone,,1.0,follow up needed
TCK00132,AC024,SUB00968,feature_request,medium,pending,2024-05-18 00:00:00,2024-05-18 21:00:00,2024-05-20 09:00:00,Sarah Brown,,48.0,3.0,customer angry
TCK00133,AC013,SUB00407,account,medium,open,2022-08-13 00:00:00,2022-08-14 05:00:00,,Marek Nowak,EMAIL,24.0,4.0,
TCK00134,AC029,SUB01505,billing,,resolved ,2023-04-11 00:00:00,2023-04-11 05:00:00,2023-04-14 16:00:00,Emily Davis,,24.0,5.0,billing escalation
TCK00135,AC040,SUB01470,billing,,resolved,2023-08-07 00:00:00,2023-08-09 00:00:00,2023-08-16 00:00:00,A. Kowalska,chat,,4.0,
TCK00136,AC161,,other,low,reopened,2024-04-16 00:00:00,2024-04-18 14:00:00,2024-04-28 02:00:00,Sarah Brown,web,8.0,2.0,customer angry
TCK00137,AC041,SUB00501,technical,high,reopened,2023-06-11 00:00:00,2023-06-12 03:00:00,,John Miller,,8.0,4.0,
TCK00138,AC175,SUB01863,technical,urgent,open,2024-01-08 00:00:00,2024-01-10 13:00:00,2024-01-16 21:00:00,Marek Nowak,email,8.0,5.0,billing escalation
TCK00139,AC109,,other,medium,open,2022-06-14 00:00:00,2022-06-16 17:00:00,,Sarah Brown,phone,8.0,5.0,
TCK00140,AC153,SUB02446,,high,open,2023-09-06 00:00:00,2023-09-06 02:00:00,2023-09-13 21:00:00,Marek Nowak,web,,4.0,
TCK00141,AC017,SUB00208,other,medium,reopened,2022-06-24 00:00:00,2022-06-26 04:00:00,2022-07-04 16:00:00,,phone,8.0,,
TCK00142,AC099,SUB00998,technical,low,open,2023-04-10 00:00:00,2023-04-10 08:00:00,2023-04-14 11:00:00,Marek Nowak,EMAIL,,,
TCK00143,AC098,SUB02313,other,,open,2024-04-26 00:00:00,2024-04-26 12:00:00,,,EMAIL,4.0,1.0,
TCK00144,AC153,SUB02271,,urgent,reopened,2023-11-07 00:00:00,2023-11-09 21:00:00,2023-11-19 11:00:00,A. Kowalska,phone,4.0,,billing escalation
TCK00145,AC120,SUB00885,account,,resolved ,2023-03-16 00:00:00,2023-03-18 13:00:00,2023-03-22 15:00:00,John Miller,web,8.0,3.0,
TCK00146,AC136,SUB00955,other,urgent,resolved,2024-02-24 00:00:00,2024-02-24 10:00:00,2024-03-04 19:00:00,Marek Nowak,email,4.0,5.0,billing escalation
TCK00147,AC065,SUB00605,account,urgent,resolved,2022-05-01 00:00:00,2022-05-03 00:00:00,2022-05-10 09:00:00,John Miller,chat,48.0,,billing escalation
TCK00148,AC142,SUB02442,other,high,resolved ,2022-09-17 00:00:00,2022-09-19 20:00:00,2022-09-23 18:00:00,A. Kowalska,chat,48.0,5.0,billing escalation
TCK00149,AC003,,account,,resolved,2023-05-10 00:00:00,2023-05-12 23:00:00,2023-05-15 16:00:00,A. Kowalska,,8.0,,customer angry
TCK00150,AC175,SUB00593,other,urgent,resolved,2024-02-05 00:00:00,2024-02-05 20:00:00,,,EMAIL,4.0,2.0,
TCK00151,AC030,SUB02213,billing,medium,closed,2023-10-14 00:00:00,,,A. Kowalska,email,4.0,3.0,follow up needed
TCK00152,AC175,SUB00715,billing,urgent,closed,2023-01-15 00:00:00,,,,phone,,1.0,follow up needed
TCK00153,AC138,,other,high,pending,2023-10-18 00:00:00,2023-10-18 01:00:00,2023-10-25 02:00:00,Anna Kowalska,EMAIL,,5.0,follow up needed
TCK00154,AC069,SUB00540,billing,medium,open,2023-09-22 00:00:00,2023-09-22 04:00:00,2023-09-29 04:00:00,Emily Davis,web,24.0,,
TCK00155,AC165,,,low,open,2023-02-20 00:00:00,2023-02-22 18:00:00,,,phone,,5.0,
TCK00156,AC088,SUB00975,feature_request,urgent,reopened,2022-12-22 00:00:00,2022-12-23 11:00:00,2022-12-25 13:00:00,Anna Kowalska,phone,8.0,4.0,billing escalation
TCK00157,AC029,SUB00065,other,high,reopened,2022-04-20 00:00:00,2022-04-22 16:00:00,2022-04-23 22:00:00,Emily Davis,,48.0,4.0,billing escalation
TCK00158,AC076,,,urgent,reopened,2023-05-11 00:00:00,2023-05-12 19:00:00,2023-05-17 17:00:00,Anna Kowalska,web,4.0,3.0,customer angry
TCK00159,AC112,,account,urgent,resolved,2023-01-27 00:00:00,2023-01-28 04:00:00,2023-01-30 15:00:00,,EMAIL,4.0,,
TCK00160,AC041,SUB02155,account,low,reopened,2022-09-12 00:00:00,2022-09-14 03:00:00,2022-09-22 22:00:00,Sarah Brown,web,24.0,3.0,follow up needed
TCK00161,AC117,,technical,medium,resolved,2023-08-11 00:00:00,2023-08-12 00:00:00,2023-08-14 04:00:00,Marek Nowak,chat,8.0,2.0,billing escalation
TCK00162,AC001,,billing,urgent,reopened,2022-12-31 00:00:00,2022-12-31 13:00:00,,Anna Kowalska,EMAIL,4.0,4.0,
TCK00163,AC068,SUB01483,other,high,closed,2023-09-28 00:00:00,2023-09-29 11:00:00,2023-10-07 15:00:00,Marek Nowak,EMAIL,8.0,1.0,billing escalation
TCK00164,AC129,SUB00447,account,urgent,resolved ,2024-03-29 00:00:00,2024-03-31 21:00:00,,Sarah Brown,web,4.0,,billing escalation
TCK00165,AC046,SUB00908,technical,urgent,reopened,2023-04-17 00:00:00,2023-04-17 01:00:00,,John Miller,phone,24.0,5.0,
TCK00166,AC130,SUB00178,account,high,pending,2022-07-11 00:00:00,2022-07-12 06:00:00,2022-07-18 19:00:00,,web,8.0,4.0,
TCK00167,AC028,SUB02136,technical,,resolved ,2023-01-09 00:00:00,2023-01-10 11:00:00,2023-01-16 14:00:00,Marek Nowak,email,24.0,2.0,billing escalation
TCK00168,AC161,SUB00128,,medium,closed,2023-03-19 00:00:00,2023-03-20 01:00:00,,Anna Kowalska,chat,48.0,4.0,follow up needed
TCK00169,AC077,,feature_request,high,resolved,2024-05-19 00:00:00,2024-05-21 20:00:00,2024-05-30 06:00:00,,EMAIL,4.0,4.0,customer angry
TCK00170,AC164,SUB01646,,low,closed,2023-12-09 00:00:00,2023-12-10 03:00:00,2023-12-15 05:00:00,Tom Wilson,phone,24.0,3.0,billing escalation
TCK00171,AC130,SUB00443,billing,high,resolved ,2023-07-25 00:00:00,2023-07-26 08:00:00,2023-07-30 18:00:00,Marek Nowak,EMAIL,,,billing escalation
TCK00172,AC156,SUB01817,other,urgent,resolved ,2022-06-28 00:00:00,2022-06-29 12:00:00,2022-07-06 17:00:00,,email,48.0,5.0,
TCK00173,AC051,,account,urgent,resolved ,2023-04-20 00:00:00,2023-04-20 18:00:00,2023-04-27 14:00:00,A. Kowalska,email,4.0,2.0,
TCK00174,AC040,,,urgent,resolved,2022-08-22 00:00:00,2022-08-23 13:00:00,2022-08-30 00:00:00,,phone,,5.0,
TCK00175,AC096,SUB00270,technical,high,resolved ,2023-02-28 00:00:00,2023-02-28 02:00:00,,John Miller,chat,8.0,4.0,customer angry
TCK00176,AC042,,feature_request,,open,2022-04-08 00:00:00,,,Anna Kowalska,web,,1.0,customer angry
