pmt_id,inv_id,acct_id,sub_id,pmt_amt,pmt_ccy,fx_rt,net_pmt_amt,fee_amt,pmt_method_cd,pmt_provider_cd,pmt_type_cd,retry_flg,attempt_nbr,pmt_ts,settle_dt,fail_dt,refund_dt,pmt_status_cd,reconciled_flg,manual_adj_flg,chargeback_flg,created_by_sys,last_upd_ts,notes_txt
PMT000011,INV00449,AC140,SUB01084,440.24,USD,1.0218,439.72,4.39,paypal,stripe,charge,0,3,2023-09-29 00:00:00,2023-09-29,,,pending,0.0,1,0,manual,2023-10-09 00:00:00,manual fix
PMT000012,INV00046,AC001,SUB00268,30.15,EUR,,26.619999999999997,2.8,card,stripe,reversal,0,1,2024-06-01 00:00:00,2024-06-06,,,reversed,,0,1,billing_sys,2024-06-01 00:00:00,manual fix
PMT000013,INV00574,AC105,SUB00317,128.52,usd,1.1905,124.11000000000001,0.12,paypal,adyen,reversal,0,3,2024-01-09 00:00:00,2024-01-07,,,success,,0,1,billing_sys,2024-01-16 00:00:00,retry attempt
PMT000014,,AC050,SUB00571,0.0,USD,0.9116,434.3,4.91,paypal,stripe,charge,1,2,2023-07-24 00:00:00,2023-07-29,,,failed,1.0,0,0,manual,2023-07-30 00:00:00,manual fix
PMT000015,INV00726,AC112,,0.0,usd,0.828,194.01999999999998,1.57,card,braintree,refund,1,4,2023-11-18 00:00:00,2023-11-22,,,failed,,1,0,billing_sys,2023-11-24 00:00:00,customer dispute
PMT000016,INV00216,AC111,SUB00660,276.23,,1.0703,272.26,4.8,bank,braintree,charge,1,3,2024-11-24 00:00:00,,,,success,0.0,1,0,billing_sys,2024-11-26 00:00:00,
PMT000017,INV00645,AC148,,385.4,,0.8976,385.37,3.75,card,adyen,charge,0,4,2023-02-17 00:00:00,,,,reversed,0.0,0,1,billing_sys,2023-02-24 00:00:00,
PMT000018,INV00562,AC115,SUB00973,308.26,,,305.07,3.83,stripe_cc,braintree,charge,1,4,2024-07-26 00:00:00,,,,reversed,1.0,0,1,crm,2024-07-31 00:00:00,
PMT000019,INV00339,AC139,SUB00128,354.68,usd,0.9558,349.95,0.1,stripe_cc,adyen,charge,1,3,2023-03-24 00:00:00,2023-03-24,2023-03-27,,success,1.0,0,1,billing_sys,2023-03-28 00:00:00,customer dispute
PMT000020,INV00131,AC160,SUB00807,0.0,USD,,395.75,0.91,paypal,adyen,refund,0,4,2024-05-12 00:00:00,2024-05-10,,,failed,1.0,1,1,crm,2024-05-13 00:00:00,customer dispute
PMT000021,INV00254,AC052,SUB00313,326.82,usd,,324.0,1.09,paypal,adyen,charge,0,2,2023-01-20 00:00:00,2023-01-18,,,success,0.0,0,1,manual,2023-01-30 00:00:00,customer dispute
PMT000022,INV00580,AC011,SUB00878,387.38,EUR,,387.32,2.1,stripe_cc,stripe,refund,1,4,2024-02-11 00:00:00,2024-02-12,2024-02-12,,success,1.0,0,1,manual,2024-02-19 00:00:00,customer dispute
PMT000023,INV00089,AC072,SUB00500,0.0,,1.0673,162.07,1.63,stripe_cc,stripe,refund,1,3,2024-04-21 00:00:00,2024-04-25,,,failed,,1,0,manual,2024-04-24 00:00:00,
PMT000024,INV00018,AC024,,346.85,,0.9225,344.48,2.65,stripe_cc,braintree,reversal,1,3,2023-09-05 00:00:00,2023-09-09,,,reversed,1.0,1,1,billing_sys,2023-09-06 00:00:00,retry attempt
PMT000025,INV00496,AC071,SUB01075,0.0,EUR,1.1331,344.83,1.51,bank,adyen,charge,0,3,2023-11-20 00:00:00,2023-11-19,,,failed,0.0,1,0,billing_sys,2023-11-29 00:00:00,manual fix
PMT000026,INV00067,AC103,SUB01182,30.43,USD,,25.68,0.43,bank,stripe,reversal,1,2,2024-04-25 00:00:00,2024-04-30,,,reversed,1.0,1,1,crm,2024-05-04 00:00:00,customer dispute
PMT000027,INV00271,AC170,,0.0,usd,,,0.01,stripe_cc,braintree,reversal,1,3,2023-11-09 00:00:00,,,,failed,1.0,1,1,billing_sys,2023-11-19 00:00:00,retry attempt
PMT000028,INV00074,AC016,,325.58,EUR,1.1297,323.38,2.34,paypal,braintree,refund,1,4,2023-09-28 00:00:00,2023-09-29,,,pending,,0,1,manual,2023-10-03 00:00:00,
PMT000029,INV00782,AC045,SUB00906,337.78,EUR,,334.60999999999996,2.46,card,adyen,refund,1,3,2023-09-14 00:00:00,2023-09-12,2023-09-14,,pending,0.0,0,1,crm,2023-09-21 00:00:00,manual fix
PMT000030,INV00119,AC104,SUB00003,230.14,,0.875,226.35999999999999,3.13,card,stripe,refund,0,3,2024-11-09 00:00:00,2024-11-13,,,pending,,1,0,billing_sys,2024-11-19 00:00:00,
PMT000031,INV00121,AC166,SUB01021,51.14,EUR,0.9094,46.24,1.22,bank,adyen,charge,0,1,2023-09-03 00:00:00,2023-09-03,,2023-09-17,success,1.0,1,1,billing_sys,2023-09-07 00:00:00,manual fix
PMT000032,INV00557,AC097,SUB00660,244.75,usd,0.8955,240.47,2.05,paypal,braintree,refund,1,4,2024-08-24 00:00:00,2024-08-29,,,pending,,0,1,billing_sys,2024-08-26 00:00:00,
PMT000033,,AC037,SUB00317,222.95,USD,1.1877,219.48999999999998,3.25,paypal,braintree,reversal,1,3,2024-08-27 00:00:00,2024-08-30,,,reversed,1.0,0,0,billing_sys,2024-09-06 00:00:00,manual fix
PMT000034,INV00048,AC084,SUB00601,224.62,EUR,0.8582,221.79,3.96,bank,stripe,charge,1,2,2023-08-21 00:00:00,2023-08-20,,2023-08-25,pending,,0,0,crm,2023-08-31 00:00:00,manual fix
PMT000035,INV00162,AC019,SUB00708,235.3,EUR,0.9697,231.07000000000002,1.0,stripe_cc,adyen,charge,0,4,2024-04-15 00:00:00,2024-04-17,,,pending,,1,1,billing_sys,2024-04-25 00:00:00,customer dispute
PMT000036,INV00764,AC128,SUB00587,373.61,usd,0.9409,370.51,3.39,bank,braintree,charge,0,3,2023-10-09 00:00:00,2023-10-07,,,success,0.0,1,0,billing_sys,2023-10-13 00:00:00,manual fix
PMT000037,INV00280,AC043,,438.85,,0.9181,434.83000000000004,2.34,card,stripe,charge,1,3,2024-03-01 00:00:00,,,,pending,1.0,0,1,manual,2024-03-02 00:00:00,customer dispute
PMT000038,INV00483,AC007,SUB01150,470.44,EUR,0.8885,,4.12,paypal,braintree,refund,0,2,2024-01-13 00:00:00,,,,success,0.0,1,1,billing_sys,2024-01-14 00:00:00,retry attempt
PMT000039,INV00745,AC040,SUB00203,474.94,,1.1756,471.49,1.09,stripe_cc,stripe,refund,0,3,2024-07-04 00:00:00,2024-07-04,,,reversed,,1,0,crm,2024-07-08 00:00:00,retry attempt
PMT000040,,AC086,,300.59,usd,0.8821,297.82,2.93,bank,adyen,charge,0,3,2023-05-06 00:00:00,2023-05-11,2023-05-07,,success,0.0,0,1,billing_sys,2023-05-07 00:00:00,
PMT000041,INV00054,AC033,SUB01078,296.48,USD,0.9905,293.91,0.55,bank,braintree,charge,1,4,2023-05-15 00:00:00,2023-05-13,,,success,0.0,0,1,crm,2023-05-21 00:00:00,
PMT000042,INV00649,AC150,SUB00666,0.0,,1.0122,75.4,0.5,card,braintree,reversal,0,4,2024-05-17 00:00:00,2024-05-22,2024-05-17,,failed,0.0,1,1,crm,2024-05-23 00:00:00,customer dispute
PMT000043,INV00486,AC018,,0.0,USD,,,3.69,bank,braintree,charge,1,1,2023-04-08 00:00:00,2023-04-11,,,failed,,1,0,crm,2023-04-17 00:00:00,manual fix
PMT000044,INV00359,AC143,SUB00571,0.0,usd,1.1381,325.99,3.07,card,braintree,reversal,1,1,2023-12-27 00:00:00,2023-12-26,,,failed,,1,1,crm,2023-12-27 00:00:00,retry attempt
PMT000045,INV00162,AC095,SUB00665,111.49,USD,0.8622,111.24,0.41,stripe_cc,braintree,refund,1,4,2023-05-27 00:00:00,2023-05-31,2023-05-27,2023-06-13,reversed,0.0,0,1,crm,2023-05-28 00:00:00,manual fix
PMT000046,,AC078,SUB00282,114.16,EUR,,,2.49,stripe_cc,stripe,charge,1,2,2024-11-25 00:00:00,2024-11-30,,,success,,1,0,crm,2024-11-25 00:00:00,customer dispute
PMT000047,INV00428,AC075,,290.0,USD,0.8687,287.7,3.45,paypal,stripe,refund,0,2,2023-01-20 00:00:00,2023-01-25,,,reversed,1.0,0,1,crm,2023-01-25 00:00:00,retry attempt
PMT000048,INV00839,AC166,SUB00484,100.98,USD,,,3.01,card,stripe,reversal,1,4,2023-12-08 00:00:00,2023-12-08,2023-12-08,,pending,,1,1,manual,2023-12-13 00:00:00,retry attempt
PMT000049,INV00076,AC080,SUB00078,399.18,USD,0.9148,394.29,0.45,stripe_cc,adyen,reversal,0,4,2024-03-26 00:00:00,2024-03-25,,,success,,0,1,manual,2024-04-02 00:00:00,
PMT000050,INV00177,AC011,,419.5,,1.0096,417.68,4.59,stripe_cc,adyen,refund,0,3,2023-06-04 00:00:00,,,,success,0.0,1,1,crm,2023-06-14 00:00:00,
PMT000051,INV00726,AC022,SUB00772,158.56,EUR,1.068,154.87,3.43,card,braintree,reversal,1,3,2023-06-03 00:00:00,,2023-06-04,,reversed,1.0,0,0,crm,2023-06-10 00:00:00,retry attempt
PMT000052,INV00898,AC159,,55.06,,,,3.46,bank,braintree,refund,0,4,2023-08-20 00:00:00,2023-08-20,2023-08-22,,success,,0,1,manual,2023-08-24 00:00:00,customer dispute
PMT000053,INV00585,AC113,SUB00578,0.0,,0.9675,,1.0,bank,adyen,charge,1,3,2023-08-28 00:00:00,2023-08-29,,,failed,0.0,0,1,billing_sys,2023-08-30 00:00:00,manual fix
PMT000054,INV00425,AC014,SUB00766,409.27,usd,0.8326,407.68,0.5,paypal,stripe,charge,0,3,2024-04-05 00:00:00,2024-04-05,,2024-04-13,pending,1.0,0,1,crm,2024-04-14 00:00:00,
PMT000055,INV00296,AC061,SUB00098,276.66,usd,1.1176,276.11,4.53,card,braintree,reversal,0,2,2023-03-23 00:00:00,2023-03-21,,,reversed,0.0,1,0,manual,2023-03-29 00:00:00,retry attempt
PMT000056,INV00482,AC012,SUB00765,476.93,EUR,0.9428,,1.21,card,braintree,reversal,1,2,2024-11-11 00:00:00,,,,success,,1,0,manual,2024-11-18 00:00:00,customer dispute
PMT000057,,AC052,SUB00647,0.0,EUR,1.1956,22.04,3.77,bank,adyen,refund,0,3,2024-10-08 00:00:00,2024-10-08,,2024-10-23,failed,1.0,1,1,manual,2024-10-15 00:00:00,customer dispute
PMT000058,INV00745,AC109,,462.53,usd,0.9285,,3.3,paypal,adyen,reversal,1,2,2023-12-14 00:00:00,2023-12-14,,,pending,1.0,1,0,manual,2023-12-19 00:00:00,
PMT000059,INV00821,AC174,,33.39,USD,,29.48,0.17,card,stripe,reversal,1,3,2024-03-21 00:00:00,2024-03-23,,,reversed,,0,0,manual,2024-03-28 00:00:00,manual fix
PMT000060,INV00286,AC064,SUB00054,267.08,usd,0.9548,265.77,1.3,stripe_cc,stripe,reversal,1,4,2024-01-16 00:00:00,2024-01-21,,,reversed,0.0,0,1,billing_sys,2024-01-23 00:00:00,
PMT000061,INV00872,AC041,SUB00357,277.25,EUR,0.8485,276.56,3.95,card,adyen,reversal,1,4,2024-11-29 00:00:00,2024-12-02,,,pending,,0,0,billing_sys,2024-12-03 00:00:00,customer dispute
PMT000062,INV00461,AC120,SUB00706,41.51,usd,1.1121,40.6,4.83,stripe_cc,braintree,charge,0,2,2024-05-05 00:00:00,2024-05-09,,,pending,0.0,1,0,crm,2024-05-13 00:00:00,manual fix
PMT000063,INV00173,AC152,SUB00316,154.9,usd,1.0883,150.69,2.82,card,stripe,charge,1,2,2023-03-22 00:00:00,2023-03-24,2023-03-24,,success,1.0,0,1,manual,2023-03-30 00:00:00,manual fix
PMT000064,INV00706,AC016,,344.07,,0.8816,342.51,3.59,paypal,adyen,charge,1,1,2024-10-19 00:00:00,2024-10-21,,,pending,1.0,0,1,crm,2024-10-22 00:00:00,retry attempt
PMT000065,INV00164,AC084,SUB00641,0.0,usd,0.9993,307.12,1.54,card,stripe,refund,1,2,2023-04-10 00:00:00,2023-04-08,,,failed,1.0,0,0,crm,2023-04-17 00:00:00,
PMT000066,INV00783,AC104,SUB00821,218.31,USD,0.8779,217.94,2.52,paypal,braintree,reversal,0,2,2024-10-31 00:00:00,2024-11-05,,2024-11-04,pending,1.0,1,1,manual,2024-11-05 00:00:00,retry attempt
PMT000067,INV00153,AC156,SUB00287,358.23,EUR,0.9274,355.15000000000003,4.21,paypal,braintree,reversal,1,3,2023-07-23 00:00:00,2023-07-27,,2023-07-28,reversed,0.0,1,1,manual,2023-07-24 00:00:00,customer dispute
PMT000068,INV00272,AC168,SUB01185,345.58,usd,1.0334,,3.15,stripe_cc,stripe,reversal,0,1,2024-08-20 00:00:00,2024-08-22,,,success,,0,0,billing_sys,2024-08-27 00:00:00,manual fix
PMT000069,INV00754,AC016,SUB01063,253.4,usd,1.1992,251.52,4.78,stripe_cc,braintree,refund,1,3,2024-03-04 00:00:00,2024-03-04,,,reversed,0.0,0,1,manual,2024-03-08 00:00:00,retry attempt
PMT000070,INV00815,AC071,,247.06,,0.9578,243.19,0.73,card,adyen,reversal,0,3,2023-11-01 00:00:00,2023-11-03,,,reversed,,1,1,billing_sys,2023-11-04 00:00:00,
PMT000071,INV00054,AC026,SUB00968,0.0,USD,0.855,331.68,0.79,stripe_cc,adyen,reversal,0,3,2023-10-05 00:00:00,2023-10-07,2023-10-06,,failed,,0,0,manual,2023-10-14 00:00:00,retry attempt
PMT000072,INV00038,AC102,SUB00382,0.0,EUR,0.8037,441.16999999999996,4.91,paypal,adyen,reversal,1,2,2024-07-01 00:00:00,2024-06-29,,,failed,1.0,1,0,billing_sys,2024-07-06 00:00:00,retry attempt
PMT000073,INV00877,AC164,SUB00876,0.0,EUR,,395.51,0.7,paypal,stripe,charge,1,4,2024-04-14 00:00:00,2024-04-16,,2024-04-25,failed,1.0,1,1,manual,2024-04-23 00:00:00,
PMT000074,INV00515,AC080,SUB00605,0.0,EUR,0.8877,,0.77,paypal,adyen,reversal,1,2,2023-09-25 00:00:00,2023-09-28,,2023-09-29,failed,,0,1,manual,2023-09-30 00:00:00,
PMT000075,INV00453,AC030,SUB01195,79.18,,,75.14,2.27,stripe_cc,adyen,reversal,0,4,2024-07-31 00:00:00,2024-07-30,2024-08-01,,pending,1.0,0,1,crm,2024-07-31 00:00:00,retry attempt
PMT000076,INV00071,AC121,,272.88,,,,3.21,stripe_cc,adyen,refund,1,4,2024-08-15 00:00:00,2024-08-14,2024-08-17,,success,,0,1,billing_sys,2024-08-17 00:00:00,
PMT000077,INV00475,AC173,SUB00869,6.72,,0.899,5.34,4.69,card,stripe,reversal,1,1,2024-02-07 00:00:00,2024-02-07,,,success,0.0,0,0,crm,2024-02-16 00:00:00,
PMT000078,INV00297,AC060,SUB01180,112.55,EUR,1.109,111.36999999999999,4.38,bank,adyen,refund,1,1,2023-09-08 00:00:00,2023-09-06,,,success,,0,1,manual,2023-09-15 00:00:00,
PMT000079,INV00189,AC138,SUB00462,0.0,EUR,0.8577,210.79000000000002,2.06,stripe_cc,braintree,reversal,0,4,2023-12-19 00:00:00,2023-12-23,,,failed,0.0,1,0,crm,2023-12-24 00:00:00,
PMT000080,INV00780,AC151,SUB01145,303.45,usd,1.1478,298.65999999999997,0.08,bank,braintree,charge,1,2,2024-07-02 00:00:00,2024-07-03,2024-07-05,,success,,0,1,billing_sys,2024-07-10 00:00:00,manual fix
PMT000081,INV00510,AC120,,157.67,,0.9281,156.10999999999999,0.23,bank,braintree,charge,0,3,2023-10-17 00:00:00,2023-10-21,,,pending,,1,1,billing_sys,2023-10-20 00:00:00,manual fix
PMT000082,INV00842,AC126,SUB01005,277.57,,,276.71999999999997,3.6,stripe_cc,stripe,reversal,0,1,2023-08-24 00:00:00,2023-08-28,,,pending,0.0,0,0,crm,2023-08-26 00:00:00,retry attempt
PMT000083,INV00017,AC002,SUB00843,310.83,USD,,308.15,1.43,stripe_cc,stripe,charge,0,2,2023-03-11 00:00:00,2023-03-11,2023-03-14,,reversed,,1,1,crm,2023-03-17 00:00:00,
PMT000084,INV00869,AC021,SUB00065,350.13,USD,0.9509,346.95,3.51,card,adyen,refund,1,1,2024-01-18 00:00:00,2024-01-22,,,pending,0.0,0,0,manual,2024-01-27 00:00:00,customer dispute
PMT000085,INV00871,AC081,,143.78,usd,1.1009,141.79,0.38,bank,braintree,charge,1,3,2023-10-05 00:00:00,2023-10-03,,,success,,0,0,manual,2023-10-10 00:00:00,
PMT000086,INV00335,AC008,SUB00923,385.66,,,383.78000000000003,0.93,stripe_cc,stripe,reversal,1,2,2023-04-11 00:00:00,2023-04-15,,2023-05-01,reversed,0.0,1,0,crm,2023-04-21 00:00:00,retry attempt
PMT000087,INV00090,AC048,SUB01141,225.14,,,,2.77,paypal,adyen,charge,1,4,2024-02-03 00:00:00,2024-02-06,,2024-02-13,pending,0.0,0,0,manual,2024-02-09 00:00:00,retry attempt
PMT000088,INV00307,AC124,SUB00740,36.32,EUR,1.0884,33.24,2.29,bank,adyen,charge,1,3,2023-05-23 00:00:00,2023-05-25,,,reversed,1.0,1,1,crm,2023-05-29 00:00:00,
PMT000089,INV00408,AC082,,104.42,,1.1128,103.02,3.93,paypal,stripe,reversal,0,2,2023-05-20 00:00:00,2023-05-22,,,pending,,0,1,manual,2023-05-23 00:00:00,customer dispute
PMT000090,INV00311,AC062,,207.53,usd,1.1156,,4.95,stripe_cc,braintree,refund,1,1,2023-10-26 00:00:00,2023-10-25,,,reversed,1.0,0,0,billing_sys,2023-11-05 00:00:00,manual fix
PMT000091,INV00441,AC028,,325.14,EUR,,322.34999999999997,3.44,bank,adyen,refund,1,4,2023-06-20 00:00:00,2023-06-18,,,pending,,0,1,billing_sys,2023-06-27 00:00:00,
PMT000092,INV00212,AC134,SUB00976,177.42,USD,1.0787,175.92,4.05,card,stripe,refund,0,2,2023-10-30 00:00:00,2023-11-03,,2023-11-04,pending,,0,0,manual,2023-11-01 00:00:00,manual fix
PMT000093,INV00674,AC111,SUB00405,0.0,,0.9555,204.47,3.76,card,braintree,charge,0,3,2024-07-27 00:00:00,2024-07-31,,,failed,1.0,0,1,manual,2024-08-03 00:00:00,
PMT000094,INV00469,AC159,,295.57,EUR,1.0361,294.0,1.19,card,stripe,refund,0,4,2024-10-16 00:00:00,2024-10-19,,,pending,0.0,1,1,billing_sys,2024-10-23 00:00:00,
PMT000095,INV00635,AC014,SUB00020,74.45,,,69.63,2.53,stripe_cc,adyen,reversal,1,4,2024-10-22 00:00:00,2024-10-22,,,pending,1.0,1,0,billing_sys,2024-10-31 00:00:00,
PMT000096,INV00792,AC127,SUB00232,88.26,USD,,83.31,2.71,card,braintree,refund,0,4,2023-08-14 00:00:00,2023-08-16,2023-08-15,,reversed,,0,1,billing_sys,2023-08-21 00:00:00,manual fix
PMT000097,INV00756,AC151,SUB00877,0.0,usd,1.1139,384.91,2.85,paypal,braintree,reversal,0,3,2023-12-23 00:00:00,2023-12-22,,,failed,1.0,1,1,manual,2024-01-02 00:00:00,
PMT000098,INV00136,AC064,,0.0,EUR,1.1046,431.74,2.89,paypal,braintree,refund,1,4,2023-05-19 00:00:00,,,,failed,0.0,1,1,manual,2023-05-24 00:00:00,customer dispute
PMT000099,INV00470,AC163,SUB00734,424.35,USD,0.9591,420.23,2.47,paypal,adyen,refund,0,4,2024-05-14 00:00:00,2024-05-17,,,success,,0,0,billing_sys,2024-05-24 00:00:00,customer dispute
PMT000100,INV00706,AC034,SUB00619,230.98,usd,1.1506,,1.8,card,adyen,reversal,0,1,2023-01-17 00:00:00,2023-01-16,,,reversed,1.0,0,1,manual,2023-01-18 00:00:00,
PMT000101,,AC179,SUB00247,116.96,,0.9911,116.50999999999999,4.03,card,adyen,refund,1,2,2023-01-02 00:00:00,2023-01-03,,,reversed,0.0,0,0,manual,2023-01-11 00:00:00,
PMT000102,INV00631,AC176,SUB00445,0.0,USD,0.856,,3.65,paypal,adyen,refund,0,2,2024-09-16 00:00:00,2024-09-16,,,failed,0.0,0,1,manual,2024-09-16 00:00:00,manual fix
PMT000103,INV00116,AC062,SUB00146,0.0,USD,1.1736,,4.3,stripe_cc,adyen,reversal,0,4,2023-07-30 00:00:00,2023-07-31,,,failed,0.0,0,0,billing_sys,2023-08-03 00:00:00,retry attempt
PMT000104,INV00412,AC022,SUB01102,146.81,usd,,144.25,1.02,bank,braintree,refund,1,1,2023-02-10 00:00:00,2023-02-08,,,reversed,1.0,0,0,billing_sys,2023-02-11 00:00:00,customer dispute
PMT000105,INV00168,AC128,SUB01072,0.0,EUR,,,3.91,paypal,braintree,charge,0,3,2023-04-29 00:00:00,2023-05-04,,2023-05-05,failed,1.0,0,1,manual,2023-05-08 00:00:00,
PMT000106,INV00106,AC147,SUB00237,0.0,usd,0.801,87.55,0.23,paypal,adyen,charge,0,1,2024-05-23 00:00:00,2024-05-28,,2024-06-11,failed,,1,0,crm,2024-05-26 00:00:00,customer dispute
PMT000107,INV00824,AC133,SUB00822,64.1,USD,1.1464,62.55,0.43,stripe_cc,stripe,refund,0,3,2023-11-24 00:00:00,2023-11-26,,,success,1.0,0,1,crm,2023-12-03 00:00:00,customer dispute
PMT000108,INV00002,AC169,SUB00630,176.48,USD,,174.38,4.81,bank,braintree,refund,0,1,2023-07-20 00:00:00,2023-07-21,2023-07-23,2023-08-07,success,,1,1,crm,2023-07-21 00:00:00,
PMT000109,INV00134,AC061,,297.99,EUR,0.9572,296.36,2.26,bank,stripe,charge,0,1,2023-04-08 00:00:00,2023-04-08,,,success,0.0,1,1,crm,2023-04-14 00:00:00,
PMT000110,INV00093,AC041,SUB00624,157.61,USD,,156.87,3.56,paypal,adyen,reversal,0,3,2024-07-02 00:00:00,2024-07-05,,,pending,0.0,0,1,crm,2024-07-10 00:00:00,
PMT000111,,AC057,,74.2,,1.0521,71.29,1.29,card,stripe,charge,0,4,2023-09-13 00:00:00,2023-09-12,,,success,0.0,1,0,billing_sys,2023-09-20 00:00:00,
PMT000112,INV00220,AC048,,19.59,,0.8139,18.36,1.48,stripe_cc,braintree,refund,0,1,2023-06-22 00:00:00,2023-06-26,,,reversed,0.0,1,0,manual,2023-06-30 00:00:00,retry attempt
PMT000113,INV00580,AC129,SUB00554,182.76,usd,,182.60999999999999,4.05,paypal,stripe,refund,1,2,2024-10-07 00:00:00,2024-10-05,,,reversed,0.0,0,0,crm,2024-10-15 00:00:00,
PMT000114,INV00326,AC179,SUB00058,0.0,EUR,1.0254,422.44,4.94,stripe_cc,braintree,refund,0,4,2023-08-13 00:00:00,,,,failed,0.0,0,0,billing_sys,2023-08-21 00:00:00,customer dispute
PMT000115,INV00865,AC083,,0.0,usd,1.1669,65.36,4.3,card,adyen,reversal,1,1,2023-01-01 00:00:00,2023-01-04,,,failed,1.0,0,0,manual,2023-01-07 00:00:00,customer dispute
PMT000116,INV00752,AC177,,0.0,usd,1.1795,294.57,4.97,card,stripe,reversal,1,2,2024-10-26 00:00:00,2024-10-29,2024-10-28,,failed,0.0,1,0,crm,2024-10-27 00:00:00,retry attempt
PMT000117,INV00272,AC054,,336.66,USD,1.1148,336.42,2.19,stripe_cc,stripe,refund,1,4,2023-12-22 00:00:00,2023-12-25,2023-12-22,,pending,1.0,0,1,manual,2024-01-01 00:00:00,retry attempt
PMT000118,,AC044,SUB00330,162.76,USD,1.1592,,2.97,stripe_cc,braintree,charge,1,2,2023-06-16 00:00:00,2023-06-21,2023-06-16,,success,1.0,0,0,billing_sys,2023-06-21 00:00:00,retry attempt
PMT000119,INV00305,AC061,,366.34,,1.1359,,1.8,stripe_cc,stripe,refund,1,2,2023-07-14 00:00:00,,,,pending,0.0,0,1,billing_sys,2023-07-21 00:00:00,
PMT000120,INV00391,AC095,,136.18,USD,,135.05,1.34,card,stripe,reversal,0,1,2023-11-12 00:00:00,2023-11-16,,,reversed,,1,0,manual,2023-11-12 00:00:00,customer dispute
PMT000121,INV00081,AC102,SUB00072,0.0,usd,,467.64,4.92,bank,stripe,charge,0,4,2024-06-19 00:00:00,,,,failed,,1,0,manual,2024-06-21 00:00:00,
PMT000122,INV00566,AC084,SUB01065,38.17,,0.8049,35.230000000000004,3.91,card,adyen,charge,0,1,2023-09-22 00:00:00,2023-09-25,,,reversed,,0,1,manual,2023-09-27 00:00:00,customer dispute
PMT000123,INV00148,AC159,SUB00823,0.0,USD,1.1516,238.91,2.38,paypal,adyen,charge,1,3,2023-09-28 00:00:00,2023-10-02,,,failed,1.0,0,0,billing_sys,2023-10-02 00:00:00,customer dispute
PMT000124,INV00844,AC105,SUB01058,49.2,EUR,1.0061,,1.56,stripe_cc,stripe,reversal,0,2,2023-11-25 00:00:00,2023-11-27,,,reversed,0.0,0,0,billing_sys,2023-12-02 00:00:00,
PMT000125,INV00248,AC096,SUB00914,255.04,usd,0.9898,253.32,4.19,paypal,braintree,reversal,0,3,2024-01-05 00:00:00,,,,success,0.0,0,0,billing_sys,2024-01-15 00:00:00,retry attempt
PMT000126,INV00136,AC166,,14.93,USD,,10.21,3.56,paypal,adyen,refund,1,4,2024-11-24 00:00:00,2024-11-25,,,success,1.0,1,1,manual,2024-11-25 00:00:00,
