subtotal_amt,billing_period_start,created_at,currency,line_item_cnt,invoice_id,invoice_date,invoice_status,amount_paid,discount_amt,paid_dt,invoice_num,writeoff_flg,acct_id,subscription_id,billing_period_end,total_amt,amount_due,billing_freq_cd,due_dt,proration_flg,tax_amt
199.0,2021-08-10,2021-08-10,,1.0,40,2021-08-11,failed,29.0,0.0,2024-12-20,INV-410357,,AC084,518,2021-09-09,29.0,49.0,Y,2023-12-03,True,0.0
99.0,2024-01-04,2024-01-04,EUR,0.0,41,2024-01-05,Paid,49.0,0.0,2022-01-21,INV-948585,True,AC173,425,2024-02-03,,99.0,Y,2022-09-15,False,
99.0,2024-05-31,2024-05-31,usd,2.0,42,2024-06-01,Paid,0.0,,,INV-221160,True,AC090,234,2024-06-30,99.0,49.0,Y,2021-06-15,False,
199.0,2022-07-28,2022-07-28,usd,1.0,43,2022-07-29,unpaid,29.0,0.0,2021-05-14,INV-969356,False,AC044,529,2022-08-27,,99.0,,2024-06-14,True,
99.0,2024-04-26,2024-04-26,,0.0,44,2024-04-27,failed,29.0,,,INV-708080,False,AC026,11,2024-05-26,49.0,29.0,M,2024-04-09,False,2.9
,2022-04-02,2022-04-02,usd,1.0,45,2022-04-03,paid,29.0,,2020-03-30,INV-331533,True,AC126,169,2022-05-02,,,annual,2020-04-01,,0.0
99.0,2023-09-14,2023-09-14,,2.0,46,2023-09-15,Paid,,10.0,2021-07-04,INV-808402,True,AC036,155,2023-10-14,91.9,29.0,,2020-09-28,,2.9
199.0,2022-04-03,2022-04-03,USD,,47,2022-04-04,failed,99.0,20.0,2022-12-05,INV-604327,False,AC043,312,2022-05-03,183.9,99.0,,,True,4.9
,2022-12-16,2022-12-16,EUR,3.0,48,2022-12-17,Paid,0.0,10.0,2022-09-18,INV-305745,,AC086,151,2023-01-15,,,annual,2024-05-22,,0.0
49.0,2023-11-29,2023-11-29,,,49,2023-11-30,paid,49.0,20.0,,INV-867813,,AC144,354,2023-12-29,49.0,,annual,2020-10-06,True,4.9
99.0,2020-03-16,2020-03-16,,3.0,50,2020-03-17,unpaid,49.0,10.0,2024-01-16,INV-659067,False,AC136,343,2020-04-15,,,Y,2023-10-20,True,
99.0,2020-07-09,2020-07-09,,3.0,51,2020-07-10,unpaid,,20.0,,INV-454272,False,AC025,524,2020-08-08,79.0,99.0,,2021-02-08,,0.0
49.0,2020-02-17,2020-02-17,,,52,2020-02-18,Paid,49.0,20.0,,INV-844585,,AC039,29,2020-03-18,38.9,99.0,M,,True,9.9
49.0,2022-10-31,2022-10-31,,2.0,53,2022-11-01,failed,99.0,10.0,,INV-226154,,AC139,114,2022-11-30,,29.0,annual,2024-03-01,,
49.0,2020-09-10,2020-09-10,,0.0,54,2020-09-11,paid,0.0,5.0,2024-03-07,INV-123803,True,AC150,49,2020-10-10,,29.0,annual,2020-10-03,False,
199.0,2022-07-17,2022-07-17,EUR,2.0,55,2022-07-18,failed,,0.0,2024-02-03,INV-778575,True,AC063,348,2022-08-16,199.0,49.0,,2024-12-18,True,0.0
29.0,2021-09-04,2021-09-04,EUR,,56,2021-09-05,paid,0.0,5.0,2022-01-29,INV2156,True,AC011,292,2021-10-04,29.0,49.0,Y,,True,0.0
49.0,2021-11-02,2021-11-02,usd,0.0,57,2021-11-03,paid,99.0,20.0,2020-06-23,INV-154599,False,AC166,529,2021-12-02,33.9,49.0,monthly,2021-04-24,True,4.9
99.0,2020-10-27,2020-10-27,USD,1.0,58,2020-10-28,paid,29.0,5.0,,INV-766072,False,AC145,436,2020-11-26,98.9,,Y,2021-08-12,True,4.9
,2022-05-20,2022-05-20,usd,0.0,59,2022-05-21,paid,49.0,5.0,2024-03-20,INV-859087,False,AC117,134,2022-06-19,,,Y,2024-09-16,True,4.9
99.0,2022-01-26,2022-01-26,usd,,60,2022-01-27,failed,,5.0,2024-09-11,INV-199364,,AC173,539,2022-02-25,,,annual,2021-11-16,,
199.0,2023-04-11,2023-04-11,usd,0.0,61,2023-04-12,Paid,0.0,0.0,,INV-322596,,AC019,511,2023-05-11,29.0,,annual,2024-06-09,False,2.9
49.0,2024-08-14,2024-08-14,EUR,3.0,62,2024-08-15,Paid,,,,INV-401818,True,AC159,167,2024-09-13,,49.0,M,,,0.0
29.0,2023-12-27,2023-12-27,USD,,63,2023-12-28,unpaid,,5.0,2021-03-08,INV-446208,True,AC014,469,2024-01-26,99.0,49.0,Y,2024-12-23,,4.9
29.0,2022-07-21,2022-07-21,,1.0,64,2022-07-22,paid,49.0,10.0,2020-08-03,INV-259799,True,AC021,485,2022-08-20,,29.0,,2021-11-08,False,9.9
99.0,2023-05-17,2023-05-17,,0.0,65,2023-05-18,failed,29.0,,,INV7842,True,AC162,419,2023-06-16,,29.0,annual,2020-11-10,False,0.0
199.0,2020-03-23,2020-03-23,,1.0,66,2020-03-24,failed,29.0,10.0,,INV-594796,True,AC086,536,2020-04-22,189.0,49.0,annual,2020-07-30,True,0.0
29.0,2022-02-05,2022-02-05,USD,,67,2022-02-06,unpaid,0.0,0.0,2024-03-23,INV-970032,,AC079,311,2022-03-07,33.9,99.0,,,,4.9
49.0,2020-10-18,2020-10-18,,3.0,68,2020-10-19,unpaid,99.0,10.0,,INV-771239,,AC018,432,2020-11-17,,29.0,,2021-02-25,True,
99.0,2021-01-09,2021-01-09,,1.0,69,2021-01-10,paid,29.0,20.0,,INV-222957,False,AC166,501,2021-02-08,,29.0,annual,2024-03-30,True,4.9
29.0,2024-11-17,2024-11-17,,2.0,70,2024-11-18,Paid,0.0,0.0,,INV7496,False,AC015,46,2024-12-17,99.0,,M,2023-05-31,True,
29.0,2021-11-22,2021-11-22,EUR,3.0,71,2021-11-23,unpaid,,20.0,2021-09-29,INV-166937,True,AC018,387,2021-12-22,9.0,,Y,2021-08-31,True,0.0
29.0,2022-10-30,2022-10-30,EUR,,72,2022-10-31,failed,0.0,20.0,2023-05-04,INV-814625,False,AC162,472,2022-11-29,49.0,,,2022-06-24,True,9.9
49.0,2020-07-01,2020-07-01,usd,3.0,73,2020-07-02,failed,49.0,0.0,,INV3806,,AC003,420,2020-07-31,49.0,,annual,2022-06-25,True,0.0
,2023-01-12,2023-01-12,USD,2.0,74,2023-01-13,unpaid,99.0,0.0,2023-03-04,INV-752773,False,AC053,47,2023-02-11,,,M,2021-03-11,,9.9
,2023-12-19,2023-12-19,USD,3.0,75,2023-12-20,paid,,,2023-05-26,INV-317676,True,AC147,26,2024-01-18,,99.0,annual,,False,
99.0,2021-01-29,2021-01-29,USD,,76,2021-01-30,paid,0.0,0.0,2021-07-23,INV-941452,,AC108,55,2021-02-28,101.9,49.0,M,2022-09-29,True,2.9
29.0,2023-09-10,2023-09-10,,0.0,77,2023-09-11,unpaid,29.0,20.0,,INV-727284,,AC009,545,2023-10-10,99.0,49.0,monthly,2022-12-01,True,4.9
199.0,2021-05-17,2021-05-17,,3.0,78,2021-05-18,Paid,,,,INV1039,False,AC140,455,2021-06-16,,29.0,monthly,2021-01-10,,0.0
199.0,2023-04-21,2023-04-21,,3.0,79,2023-04-22,Paid,29.0,5.0,2023-03-12,INV-512957,True,AC120,47,2023-05-21,196.9,,annual,2020-05-19,False,2.9
99.0,2021-01-04,2021-01-04,,,80,2021-01-05,Paid,,,2022-08-25,INV-231852,,AC157,425,2021-02-03,,29.0,monthly,2022-01-08,True,
199.0,2021-06-10,2021-06-10,EUR,2.0,81,2021-06-11,failed,29.0,5.0,,INV-250841,False,AC127,94,2021-07-10,49.0,29.0,Y,2023-12-23,,9.9
99.0,2020-10-21,2020-10-21,EUR,0.0,82,2020-10-22,failed,29.0,5.0,,INV-122019,True,AC108,188,2020-11-20,,99.0,Y,2020-11-25,False,
199.0,2022-04-14,2022-04-14,,1.0,83,2022-04-15,unpaid,,,,INV-469975,False,AC157,174,2022-05-14,,29.0,monthly,2022-09-23,False,2.9
99.0,2020-02-25,2020-02-25,USD,1.0,84,2020-02-26,failed,0.0,10.0,2024-08-06,INV-628664,False,AC121,60,2020-03-26,91.9,99.0,,2023-01-13,False,2.9
29.0,2020-10-18,2020-10-18,usd,1.0,85,2020-10-19,paid,99.0,5.0,2022-08-19,INV-451035,False,,423,2020-11-17,33.9,99.0,Y,2020-07-23,,9.9
49.0,2020-04-16,2020-04-16,EUR,1.0,86,2020-04-17,Paid,,10.0,2022-10-13,INV-846880,,AC148,208,2020-05-16,,49.0,monthly,2023-05-04,True,4.9
29.0,2022-11-07,2022-11-07,,1.0,87,2022-11-08,paid,29.0,0.0,,INV-704898,False,AC086,517,2022-12-07,29.0,,annual,2024-04-01,,4.9
99.0,2021-10-13,2021-10-13,usd,3.0,88,2021-10-14,paid,29.0,5.0,,INV-493054,,AC173,476,2021-11-12,98.9,,monthly,2021-01-25,True,4.9
49.0,2022-04-14,2022-04-14,USD,3.0,89,2022-04-15,unpaid,99.0,10.0,2020-12-09,INV-608016,True,AC026,240,2022-05-14,39.0,29.0,Y,2023-07-14,,0.0
199.0,2024-04-11,2024-04-11,usd,,90,2024-04-12,Paid,,5.0,2021-06-08,INV-444139,True,AC058,129,2024-05-11,196.9,99.0,annual,2023-12-18,,2.9
,2020-06-20,2020-06-20,,3.0,91,2020-06-21,unpaid,49.0,10.0,2022-08-22,INV-303555,False,AC143,513,2020-07-20,49.0,49.0,monthly,,False,4.9
49.0,2024-05-20,2024-05-20,usd,1.0,92,2024-05-21,paid,,10.0,,INV-215249,False,AC027,252,2024-06-19,43.9,,Y,2023-09-21,True,4.9
,2020-01-03,2020-01-03,USD,,93,2020-01-04,paid,49.0,5.0,2023-04-20,INV-363948,True,,476,2020-02-02,,99.0,Y,2022-10-08,False,2.9
29.0,2022-09-14,2022-09-14,,2.0,94,2022-09-15,unpaid,0.0,20.0,,INV-362840,,AC176,280,2022-10-14,11.899999999999999,99.0,monthly,2022-03-03,,2.9
49.0,2023-04-13,2023-04-13,EUR,2.0,95,2023-04-14,paid,29.0,20.0,2021-08-04,INV-301376,,AC164,523,2023-05-13,99.0,99.0,annual,2020-02-12,,
99.0,2021-09-07,2021-09-07,EUR,3.0,96,2021-09-08,failed,29.0,,2023-02-08,INV-491728,,AC180,92,2021-10-07,49.0,,monthly,2022-03-30,True,4.9
199.0,2022-06-03,2022-06-03,,1.0,97,2022-06-04,Paid,99.0,5.0,2020-05-18,INV-190783,True,AC142,216,2022-07-03,198.9,99.0,,2021-04-06,True,4.9
199.0,2021-07-13,2021-07-13,EUR,3.0,98,2021-07-14,Paid,99.0,5.0,,INV-353706,False,AC108,252,2021-08-12,,99.0,Y,2020-06-13,False,
29.0,2023-05-12,2023-05-12,USD,1.0,99,2023-05-13,Paid,49.0,20.0,2023-06-19,INV-460044,,AC177,337,2023-06-11,11.899999999999999,29.0,,2024-12-17,,2.9
29.0,2020-01-09,2020-01-09,usd,1.0,100,2020-01-10,Paid,0.0,20.0,2024-11-02,INV-322946,False,AC075,10,2020-02-08,13.899999999999999,49.0,monthly,2020-09-21,,4.9
199.0,2023-01-07,2023-01-07,USD,,101,2023-01-08,Paid,,0.0,2021-06-03,INV-910726,False,AC108,84,2023-02-06,99.0,29.0,monthly,2021-12-14,True,
99.0,2023-10-08,2023-10-08,,1.0,102,2023-10-09,Paid,0.0,20.0,2022-10-26,INV-139717,,AC098,127,2023-11-07,29.0,99.0,monthly,2023-10-03,True,
,2020-12-28,2020-12-28,,1.0,103,2020-12-29,unpaid,0.0,0.0,,INV-185226,True,AC025,9,2021-01-27,,29.0,Y,2022-06-25,True,9.9
199.0,2022-06-29,2022-06-29,,1.0,104,2022-06-30,failed,29.0,20.0,2023-11-01,INV-759154,True,AC084,10,2022-07-29,29.0,49.0,,2021-11-08,True,9.9
99.0,2021-01-27,2021-01-27,EUR,,105,2021-01-28,Paid,49.0,10.0,2024-05-12,INV-422987,True,AC124,93,2021-02-26,29.0,99.0,,2021-05-24,,9.9
49.0,2022-01-13,2022-01-13,EUR,3.0,106,2022-01-14,paid,0.0,,2022-05-01,INV-621362,,AC060,38,2022-02-12,,99.0,,2023-09-22,True,4.9
29.0,2021-02-05,2021-02-05,usd,2.0,107,2021-02-06,unpaid,99.0,20.0,2022-11-25,INV-629265,True,AC169,406,2021-03-07,29.0,29.0,monthly,2023-09-30,False,9.9
49.0,2023-02-04,2023-02-04,EUR,,108,2023-02-05,paid,29.0,5.0,,INV2445,,AC153,199,2023-03-06,,49.0,monthly,2020-05-03,False,9.9
199.0,2020-09-17,2020-09-17,,1.0,109,2020-09-18,unpaid,,0.0,,INV-217015,False,AC108,266,2020-10-17,208.9,49.0,monthly,2024-10-15,,9.9
29.0,2024-10-02,2024-10-02,usd,3.0,110,2024-10-03,paid,,5.0,2022-06-21,INV-636364,,AC123,24,2024-11-01,26.9,99.0,Y,2024-10-24,False,2.9
29.0,2022-05-24,2022-05-24,usd,0.0,111,2022-05-25,failed,0.0,20.0,,INV-377745,True,AC050,54,2022-06-23,,99.0,,2022-09-01,,
,2020-09-06,2020-09-06,,0.0,112,2020-09-07,paid,0.0,10.0,,INV-803414,,AC113,531,2020-10-06,,,,2024-08-15,,9.9
99.0,2024-01-17,2024-01-17,usd,2.0,113,2024-01-18,Paid,99.0,10.0,2022-04-07,INV2292,False,AC179,230,2024-02-16,98.9,29.0,M,2020-07-04,True,9.9
29.0,2021-10-09,2021-10-09,,0.0,114,2021-10-10,paid,49.0,10.0,,INV-465653,True,AC066,6,2021-11-08,,,M,2024-08-25,,9.9
,2023-03-17,2023-03-17,USD,3.0,115,2023-03-18,unpaid,0.0,10.0,,INV-257493,False,AC164,26,2023-04-16,,49.0,monthly,2021-09-19,True,0.0
99.0,2021-02-07,2021-02-07,USD,,116,2021-02-08,paid,99.0,0.0,2023-06-04,INV-362042,,AC085,169,2021-03-09,99.0,99.0,,2023-11-10,False,0.0
99.0,2020-02-27,2020-02-27,,,117,2020-02-28,failed,29.0,20.0,2021-12-13,INV-614830,True,AC003,492,2020-03-28,99.0,,monthly,2020-04-07,,4.9
199.0,2021-05-21,2021-05-21,,1.0,118,2021-05-22,paid,49.0,5.0,2023-03-20,INV-447766,,AC064,111,2021-06-20,,,Y,2024-05-20,True,
49.0,2024-08-09,2024-08-09,usd,3.0,119,2024-08-10,paid,29.0,5.0,,INV-289008,True,AC129,342,2024-09-08,49.0,49.0,monthly,2023-11-07,,2.9
,2023-07-04,2023-07-04,USD,,120,2023-07-05,paid,29.0,5.0,,INV-505833,,AC108,458,2023-08-03,,29.0,,,False,9.9
199.0,2022-02-11,2022-02-11,USD,3.0,121,2022-02-12,Paid,49.0,,,INV-636750,,AC112,321,2022-03-13,,29.0,,2023-01-15,False,9.9
49.0,2020-04-22,2020-04-22,USD,3.0,122,2020-04-23,paid,29.0,10.0,2024-01-07,INV-677987,False,AC015,309,2020-05-22,,,M,2024-03-24,False,
199.0,2023-02-19,2023-02-19,usd,,123,2023-02-20,paid,0.0,5.0,2022-10-15,INV-190752,True,AC178,54,2023-03-21,196.9,99.0,Y,2021-03-17,False,2.9
29.0,2023-06-18,2023-06-18,USD,2.0,124,2023-06-19,Paid,,,,INV-537961,True,AC142,421,2023-07-18,,49.0,monthly,2020-12-27,,9.9
99.0,2022-02-25,2022-02-25,USD,,125,2022-02-26,failed,,,,INV-865386,,AC057,476,2022-03-27,,,monthly,,False,
29.0,2023-08-26,2023-08-26,,2.0,126,2023-08-27,unpaid,,5.0,2024-11-19,INV-128913,False,AC052,27,2023-09-25,99.0,,M,2022-10-03,,4.9
29.0,2020-08-09,2020-08-09,USD,,127,2020-08-10,unpaid,,20.0,2021-08-23,INV-580117,,AC171,106,2020-09-08,49.0,29.0,monthly,2024-05-09,False,0.0
,2023-03-19,2023-03-19,usd,0.0,128,2023-03-20,Paid,99.0,20.0,,INV-340600,True,AC020,130,2023-04-18,99.0,99.0,annual,2024-10-05,,4.9
199.0,2024-01-24,2024-01-24,EUR,0.0,129,2024-01-25,paid,49.0,20.0,2023-09-06,INV-252754,True,AC143,456,2024-02-23,183.9,49.0,annual,2024-05-14,True,4.9
49.0,2020-05-03,2020-05-03,usd,0.0,130,2020-05-04,failed,,0.0,2022-03-25,INV4300,,AC065,131,2020-06-02,49.0,99.0,M,2023-10-08,,2.9
99.0,2021-09-29,2021-09-29,,2.0,131,2021-09-30,failed,0.0,20.0,2020-08-18,INV-730477,,AC150,150,2021-10-29,88.9,49.0,M,2024-11-13,False,9.9
49.0,2021-08-19,2021-08-19,EUR,1.0,132,2021-08-20,paid,,20.0,2020-04-05,INV-153550,False,AC041,378,2021-09-18,31.9,29.0,,2022-01-11,,2.9
,2021-05-01,2021-05-01,,3.0,133,2021-05-02,unpaid,0.0,0.0,,INV-359171,True,AC103,520,2021-05-31,49.0,29.0,monthly,2023-01-06,False,9.9
199.0,2021-02-14,2021-02-14,EUR,0.0,134,2021-02-15,Paid,99.0,20.0,2024-02-15,INV-482244,True,AC004,207,2021-03-16,188.9,29.0,annual,2021-09-13,True,9.9
199.0,2023-11-23,2023-11-23,,,135,2023-11-24,failed,,,,INV-248159,False,AC147,479,2023-12-23,99.0,99.0,M,2022-10-28,False,0.0
,2022-05-07,2022-05-07,usd,2.0,136,2022-05-08,paid,29.0,20.0,2020-01-21,INV-281250,True,AC110,337,2022-06-06,,49.0,annual,2021-09-26,True,
199.0,2022-10-12,2022-10-12,EUR,1.0,137,2022-10-13,Paid,49.0,10.0,,INV-954831,,AC159,225,2022-11-11,,29.0,M,2024-04-24,True,0.0
29.0,2023-07-01,2023-07-01,,,138,2023-07-02,Paid,0.0,5.0,,INV-638224,False,AC088,219,2023-07-31,28.9,49.0,,,True,4.9
49.0,2021-02-24,2021-02-24,,1.0,139,2021-02-25,paid,29.0,10.0,2021-03-15,INV-322769,,AC054,410,2021-03-26,43.9,49.0,,2021-05-19,False,4.9
,2020-05-31,2020-05-31,USD,3.0,140,2020-06-01,unpaid,,10.0,2023-09-12,INV-559121,,,367,2020-06-30,,29.0,,2020-06-24,,0.0
99.0,2021-08-18,2021-08-18,,1.0,141,2021-08-19,paid,,5.0,2020-11-07,INV-833429,,AC083,451,2021-09-17,96.9,49.0,monthly,2021-10-05,,2.9
29.0,2020-03-01,2020-03-01,EUR,3.0,142,2020-03-02,unpaid,99.0,10.0,2021-02-10,INV-215957,False,AC097,204,2020-03-31,49.0,49.0,monthly,2021-04-20,False,2.9
,2021-06-20,2021-06-20,EUR,,143,2021-06-21,unpaid,,0.0,,INV-420246,,AC130,179,2021-07-20,,99.0,,2022-01-07,,9.9
29.0,2021-02-05,2021-02-05,USD,3.0,144,2021-02-06,paid,99.0,0.0,,INV-128079,False,AC089,23,2021-03-07,49.0,49.0,monthly,2024-03-31,False,4.9
,2024-08-29,2024-08-29,,3.0,145,2024-08-30,unpaid,29.0,5.0,,INV-802308,,AC126,141,2024-09-28,,,monthly,2024-08-02,False,0.0
,2021-09-16,2021-09-16,,2.0,146,2021-09-17,unpaid,99.0,10.0,,INV7296,,AC173,468,2021-10-16,,49.0,M,2024-06-04,True,4.9
199.0,2022-12-15,2022-12-15,EUR,1.0,147,2022-12-16,unpaid,29.0,10.0,,INV-568808,True,AC155,445,2023-01-14,189.0,29.0,,2023-04-28,,0.0
199.0,2024-06-15,2024-06-15,usd,3.0,148,2024-06-16,failed,,,2024-05-01,INV-876320,,AC144,195,2024-07-15,,49.0,Y,2021-10-06,,4.9
29.0,2021-10-13,2021-10-13,EUR,,149,2021-10-14,failed,29.0,0.0,,INV-950798,False,AC041,440,2021-11-12,38.9,49.0,,2022-10-29,True,9.9
,2024-06-05,2024-06-05,USD,2.0,150,2024-06-06,failed,49.0,20.0,,INV-388118,True,AC012,153,2024-07-05,,99.0,M,2020-09-23,True,0.0
29.0,2024-11-22,2024-11-22,USD,1.0,151,2024-11-23,Paid,49.0,5.0,,INV-938586,False,AC015,130,2024-12-22,99.0,,,2022-09-30,False,0.0
,2024-06-07,2024-06-07,usd,0.0,152,2024-06-08,failed,,20.0,2021-06-02,INV-350623,False,AC117,67,2024-07-07,,49.0,Y,2020-08-11,False,4.9
99.0,2022-10-18,2022-10-18,,3.0,153,2022-10-19,failed,49.0,10.0,2022-04-29,INV-872381,True,AC089,532,2022-11-17,91.9,,annual,,False,2.9
,2022-12-12,2022-12-12,,,154,2022-12-13,Paid,0.0,0.0,2020-06-27,INV-204703,True,AC159,495,2023-01-11,,,monthly,2020-02-21,,2.9
29.0,2023-07-30,2023-07-30,EUR,1.0,155,2023-07-31,Paid,49.0,10.0,2021-10-07,INV-986932,,,38,2023-08-29,21.9,49.0,M,2020-09-23,True,2.9
49.0,2024-11-02,2024-11-02,,0.0,156,2024-11-03,Paid,49.0,5.0,2023-07-04,INV2345,False,AC022,241,2024-12-02,,,annual,2020-11-05,True,
