sub_id,acct_id,plan_id,plan_cd,usr_id,sub_start_dt,sub_end_dt,cancel_dt,trial_end_dt,sub_status_cd,auto_renew_flg,grace_period_flg,billable_flg,manual_override_flg,mrr_amt,currency_cd,billing_freq_cd,seat_qty,discount_pct,contract_term_mo,last_plan_chg_dt,orig_plan_cd,chg_cnt,linked_sub_id,created_sys_cd,created_ts,last_upd_ts,notes_txt
SUB000021,AC060,,starter_1,USR00794,2022-02-16,,,,trial,0,1,1,0,182.07,USD,M,1.0,20.0,24.0,2023-02-05,starter_1,2,,billing,2022-02-16 00:00:00,2023-05-29 00:00:00,manual correction
SUB000022,AC161,PLN0049,basic_1,USR00717,2021-07-26,2023-02-25,2023-02-25,2021-08-25,active,0,0,0,0,0.0,USD,M,,0.0,12.0,2021-11-07,starter_1,4,,billing,2021-07-26 00:00:00,2022-09-08 00:00:00,legacy migration
SUB000023,AC012,PLN0050,growth_2,USR00039,2021-11-22,,,,canceled,0,1,1,1,24.78,USD,monthly,5.0,20.0,24.0,2022-05-30,starter_1,5,,crm,2021-11-22 00:00:00,2022-01-15 00:00:00,
SUB000024,AC080,PLN0008,enterprise_3,USR00454,2021-10-22,,,,active,0,0,1,1,0.0,USD,monthly,1.0,,12.0,2022-08-02,starter_1,5,,crm,2021-10-22 00:00:00,2023-07-25 00:00:00,legacy migration
SUB000025,AC055,PLN0022,basic_1,USR00237,2022-09-15,,2023-01-24,2022-10-15,active,1,0,1,1,0.0,USD,M,10.0,10.0,24.0,2023-05-18,basic_1,2,,billing,2022-09-15 00:00:00,2023-07-06 00:00:00,
SUB000026,AC161,PLN0018,pro_2,USR00628,2023-06-20,2024-02-26,2024-02-26,,active,0,0,0,0,0.0,USD,A,5.0,,12.0,2024-10-28,basic_1,5,,crm,2023-06-20 00:00:00,2025-04-29 00:00:00,legacy migration
SUB000027,AC122,,enterprise_3,,2023-02-28,2024-01-29,2024-01-29,,active,1,1,1,1,0.0,USD,A,,0.0,24.0,2023-08-25,basic_1,5,,crm,2023-02-28 00:00:00,2024-06-16 00:00:00,legacy migration
SUB000028,AC024,PLN0051,pro_2,,2022-12-20,2023-10-13,2023-10-13,,trial,1,0,0,1,0.0,USD,monthly,5.0,0.0,1.0,2024-02-04,basic_1,1,,billing,2022-12-20 00:00:00,2023-04-30 00:00:00,legacy migration
SUB000029,AC084,PLN0026,starter_1,USR00876,2022-09-29,,,2022-10-06,trial,1,0,0,1,102.89,USD,A,5.0,20.0,,2023-10-28,basic_1,0,,crm,2022-09-29 00:00:00,2024-01-13 00:00:00,manual correction
SUB000030,AC043,PLN0008,growth_2,USR00740,2021-07-11,,,2021-07-25,canceled,0,1,0,0,39.15,USD,monthly,1.0,,1.0,2022-04-30,starter_1,2,,crm,2021-07-11 00:00:00,2022-10-05 00:00:00,
SUB000031,AC041,PLN0042,enterprise_3,USR00788,2023-02-07,2024-07-10,2024-07-10,,active,1,1,0,1,0.0,USD,monthly,,0.0,1.0,2024-01-01,basic_1,1,,crm,2023-02-07 00:00:00,2023-12-02 00:00:00,manual correction
SUB000032,AC137,PLN0015,enterprise_3,USR00184,2022-11-05,,,2022-12-05,canceled,0,0,0,1,105.27,USD,A,50.0,20.0,12.0,2023-07-20,starter_1,0,,billing,2022-11-05 00:00:00,2023-09-01 00:00:00,
SUB000033,AC164,PLN0027,starter_1,USR00710,2021-07-28,,,2021-08-27,trial,0,1,0,0,0.0,USD,monthly,10.0,,,2021-11-05,starter_1,5,,crm,2021-07-28 00:00:00,2022-12-13 00:00:00,legacy migration
SUB000034,AC136,PLN0004,enterprise_3,USR00240,2022-08-24,,,,canceled,0,0,1,0,121.62,USD,M,,10.0,24.0,2023-06-24,basic_1,0,,crm,2022-08-24 00:00:00,2024-03-27 00:00:00,manual correction
SUB000035,AC048,PLN0025,starter_1,,2021-06-22,,,,active,1,1,0,0,0.0,USD,monthly,,10.0,1.0,2021-08-19,starter_1,0,,crm,2021-06-22 00:00:00,2023-04-21 00:00:00,legacy migration
SUB000036,AC135,PLN0010,enterprise_3,USR00091,2022-07-17,,,,trial,1,0,1,1,0.0,USD,A,50.0,,24.0,2023-10-12,basic_1,3,,billing,2022-07-17 00:00:00,2024-09-14 00:00:00,legacy migration
SUB000037,AC098,PLN0052,pro_2,USR00862,2021-09-05,,,,canceled,1,1,1,0,81.26,USD,monthly,1.0,20.0,1.0,2022-08-11,basic_1,3,,crm,2021-09-05 00:00:00,2022-07-29 00:00:00,
SUB000038,AC052,PLN0026,growth_2,USR00526,2021-12-04,,,2021-12-11,active,1,1,0,0,0.0,USD,M,,,,2022-03-11,starter_1,1,,billing,2021-12-04 00:00:00,2021-12-23 00:00:00,manual correction
SUB000039,AC146,,starter_1,USR00096,2022-10-27,,,,trial,1,0,0,1,0.0,USD,A,50.0,20.0,1.0,2023-05-06,starter_1,5,,billing,2022-10-27 00:00:00,2022-11-16 00:00:00,manual correction
SUB000040,AC021,PLN0018,basic_1,USR00326,2021-02-03,,,,canceled,1,0,0,0,284.42,USD,monthly,5.0,0.0,24.0,2021-10-22,basic_1,3,,billing,2021-02-03 00:00:00,2021-02-28 00:00:00,
SUB000041,AC065,,enterprise_3,USR00682,2021-09-23,,,2021-10-23,canceled,1,0,0,0,123.51,USD,A,50.0,10.0,1.0,2022-06-21,basic_1,3,,billing,2021-09-23 00:00:00,2022-02-17 00:00:00,manual correction
SUB000042,AC052,PLN0055,starter_1,USR00886,2021-09-24,,,,trial,0,0,1,1,0.0,USD,A,10.0,20.0,24.0,2022-04-09,starter_1,1,,billing,2021-09-24 00:00:00,2022-09-08 00:00:00,
SUB000043,AC057,PLN0021,enterprise_3,,2023-06-17,,,,trial,0,0,0,1,179.65,USD,M,50.0,,,2024-08-23,basic_1,4,,billing,2023-06-17 00:00:00,2023-11-15 00:00:00,
SUB000044,AC032,PLN0002,enterprise_3,USR00482,2021-12-16,,,,canceled,0,0,1,1,105.93,USD,A,10.0,,12.0,2022-12-15,starter_1,2,,crm,2021-12-16 00:00:00,2022-07-31 00:00:00,manual correction
SUB000045,AC020,PLN0010,starter_1,USR00880,2022-09-10,,,,trial,1,1,1,1,0.0,USD,M,5.0,,24.0,2023-06-29,basic_1,4,,crm,2022-09-10 00:00:00,2023-09-27 00:00:00,legacy migration
SUB000046,AC100,PLN0008,pro_2,USR00742,2022-11-25,,,,active,0,0,0,0,0.0,USD,monthly,50.0,0.0,,2023-02-14,basic_1,0,,billing,2022-11-25 00:00:00,2024-10-20 00:00:00,
SUB000047,AC015,PLN0042,enterprise_3,,2022-02-21,,,,trial,0,1,0,1,0.0,USD,M,50.0,20.0,,2022-03-27,starter_1,4,,crm,2022-02-21 00:00:00,2022-12-30 00:00:00,
SUB000048,AC075,PLN0052,growth_2,USR00730,2022-03-21,2022-03-13,2022-03-13,,trial,0,0,1,0,0.0,USD,A,10.0,,1.0,2023-06-01,starter_1,0,,billing,2022-03-21 00:00:00,2023-03-03 00:00:00,
SUB000049,AC101,,enterprise_3,,2021-01-17,,,,canceled,0,0,0,1,114.08,USD,monthly,,,1.0,2021-05-29,starter_1,4,,billing,2021-01-17 00:00:00,2021-02-23 00:00:00,legacy migration
SUB000050,AC055,PLN0039,growth_2,USR00333,2021-03-18,,,,canceled,0,1,1,0,0.0,USD,A,5.0,,12.0,2021-10-24,starter_1,0,,crm,2021-03-18 00:00:00,2022-10-02 00:00:00,legacy migration
SUB000051,AC023,PLN0029,starter_1,USR00466,2021-07-19,,,,active,0,1,0,1,0.0,USD,M,5.0,0.0,1.0,2021-11-14,basic_1,5,,crm,2021-07-19 00:00:00,2021-08-30 00:00:00,
SUB000052,AC156,PLN0001,enterprise_3,USR00643,2023-02-15,2023-11-20,2023-11-20,,active,1,0,1,0,253.97,USD,M,,,12.0,2023-09-29,basic_1,2,,billing,2023-02-15 00:00:00,2023-10-25 00:00:00,manual correction
SUB000053,AC008,PLN0008,pro_2,USR00847,2021-06-03,,,,trial,0,1,0,1,125.91,USD,M,10.0,,12.0,2022-09-20,starter_1,1,,billing,2021-06-03 00:00:00,2023-01-18 00:00:00,
SUB000054,AC075,PLN0019,enterprise_3,USR00757,2022-01-28,,,,active,0,0,1,1,0.0,USD,monthly,50.0,0.0,24.0,2022-02-11,starter_1,3,,crm,2022-01-28 00:00:00,2022-05-20 00:00:00,legacy migration
SUB000055,AC061,,pro_2,USR00075,2021-11-28,2023-03-10,2023-03-10,,canceled,0,1,1,1,0.0,USD,A,50.0,,,2022-11-05,basic_1,1,,billing,2021-11-28 00:00:00,2023-07-01 00:00:00,manual correction
SUB000056,AC022,,basic_1,USR00759,2022-06-30,,,,canceled,1,1,0,0,0.0,USD,A,,,12.0,2022-09-17,basic_1,3,,billing,2022-06-30 00:00:00,2022-07-10 00:00:00,manual correction
SUB000057,AC115,,pro_2,USR00119,2021-04-16,,2022-07-03,,active,0,0,0,1,0.0,USD,A,,,12.0,2021-08-16,basic_1,0,,crm,2021-04-16 00:00:00,2022-01-29 00:00:00,
SUB000058,AC171,PLN0018,growth_2,USR00648,2022-12-27,,,2023-01-26,trial,1,0,0,0,288.83,USD,monthly,10.0,0.0,24.0,2023-06-02,basic_1,3,,billing,2022-12-27 00:00:00,2023-03-28 00:00:00,
SUB000059,AC047,,starter_1,,2023-03-01,,,,canceled,1,0,0,1,0.0,USD,A,,,,2023-05-30,starter_1,0,,crm,2023-03-01 00:00:00,2024-08-25 00:00:00,legacy migration
SUB000060,AC062,PLN0004,pro_2,,2021-04-03,,,,canceled,0,1,1,0,0.0,USD,M,10.0,20.0,24.0,2021-05-11,basic_1,3,,billing,2021-04-03 00:00:00,2022-10-24 00:00:00,
SUB000061,AC012,,basic_1,USR00762,2021-10-19,,,2021-10-26,canceled,0,1,0,0,198.98,USD,monthly,50.0,10.0,12.0,2022-12-20,starter_1,4,,billing,2021-10-19 00:00:00,2022-09-19 00:00:00,
SUB000062,AC014,PLN0019,starter_1,USR00899,2023-04-19,,,,active,0,1,0,0,0.0,USD,A,5.0,,12.0,2024-05-08,starter_1,4,,crm,2023-04-19 00:00:00,2025-01-26 00:00:00,
SUB000063,AC014,PLN0015,enterprise_3,,2021-05-30,,,,canceled,1,0,0,1,0.0,USD,A,1.0,0.0,12.0,2021-08-06,starter_1,1,,crm,2021-05-30 00:00:00,2021-09-06 00:00:00,
SUB000064,AC096,PLN0022,basic_1,USR00435,2021-06-13,,,2021-07-13,active,1,1,0,0,0.0,USD,A,,0.0,12.0,2022-09-27,basic_1,1,,crm,2021-06-13 00:00:00,2021-12-23 00:00:00,
SUB000065,AC145,PLN0054,pro_2,USR00098,2021-06-30,,,,canceled,1,1,1,1,0.0,USD,monthly,50.0,20.0,12.0,2021-10-21,basic_1,0,,billing,2021-06-30 00:00:00,2022-10-07 00:00:00,
SUB000066,AC152,PLN0041,basic_1,,2022-10-29,,,,active,0,1,0,0,0.0,USD,monthly,5.0,,,2023-03-05,starter_1,3,SUB000930,billing,2022-10-29 00:00:00,2024-11-27 00:00:00,legacy migration
SUB000067,AC152,PLN0051,basic_1,USR00843,2022-11-08,,,,active,1,0,1,1,0.0,USD,monthly,1.0,0.0,12.0,2023-08-18,starter_1,5,,crm,2022-11-08 00:00:00,2024-02-22 00:00:00,legacy migration
SUB000068,AC062,PLN0054,growth_2,USR00267,2021-05-05,,,,canceled,0,1,1,0,0.0,USD,monthly,5.0,0.0,1.0,2022-08-21,starter_1,4,,crm,2021-05-05 00:00:00,2021-10-16 00:00:00,legacy migration
SUB000069,AC118,PLN0034,starter_1,USR00811,2022-02-14,,2022-11-07,,active,1,1,0,0,0.0,USD,M,1.0,20.0,12.0,2022-08-05,basic_1,4,,crm,2022-02-14 00:00:00,2023-01-25 00:00:00,manual correction
SUB000070,AC023,PLN0041,growth_2,USR00491,2023-03-20,,,,active,0,0,1,0,279.41,USD,A,,0.0,,2023-09-01,starter_1,5,,crm,2023-03-20 00:00:00,2024-01-31 00:00:00,
SUB000071,AC030,PLN0036,growth_2,USR00208,2022-05-13,,,,trial,1,0,0,0,96.95,USD,A,10.0,10.0,1.0,2023-06-08,starter_1,4,,crm,2022-05-13 00:00:00,2022-12-23 00:00:00,manual correction
SUB000072,AC063,PLN0039,basic_1,USR00556,2021-04-12,2022-02-28,2022-02-28,,canceled,0,1,1,0,0.0,USD,A,,0.0,24.0,2021-05-25,basic_1,5,,crm,2021-04-12 00:00:00,2022-01-12 00:00:00,
SUB000073,AC153,PLN0009,starter_1,USR00237,2021-10-23,,,2021-10-30,canceled,1,1,0,0,189.91,USD,A,1.0,,1.0,2022-05-13,basic_1,3,,billing,2021-10-23 00:00:00,2023-12-17 00:00:00,
SUB000074,AC023,PLN0023,growth_2,USR00719,2022-10-14,,,2022-11-13,trial,0,0,0,1,164.65,USD,A,1.0,0.0,,2023-03-12,basic_1,1,,billing,2022-10-14 00:00:00,2024-04-19 00:00:00,
SUB000075,AC049,PLN0021,pro_2,USR00283,2022-07-04,,,2022-08-03,canceled,1,1,0,1,0.0,USD,A,10.0,10.0,1.0,2022-11-25,starter_1,3,,crm,2022-07-04 00:00:00,2024-07-20 00:00:00,manual correction
SUB000076,AC145,PLN0046,starter_1,USR00440,2021-03-17,,2022-05-12,,trial,1,0,0,0,40.88,USD,monthly,5.0,0.0,,2021-11-19,basic_1,0,,billing,2021-03-17 00:00:00,2021-12-21 00:00:00,manual correction
SUB000077,AC144,PLN0011,growth_2,USR00121,2021-03-29,,2021-10-07,,trial,0,0,1,1,298.94,USD,M,1.0,,12.0,2021-04-19,starter_1,5,SUB002300,crm,2021-03-29 00:00:00,2021-06-09 00:00:00,manual correction
SUB000078,AC154,,pro_2,,2022-11-27,,,,canceled,0,0,1,1,280.08,USD,M,10.0,0.0,12.0,2023-01-05,basic_1,0,,billing,2022-11-27 00:00:00,2022-12-13 00:00:00,
SUB000079,AC110,PLN0054,growth_2,USR00508,2021-10-20,,,,canceled,1,0,0,0,38.43,USD,M,10.0,20.0,12.0,2023-02-26,starter_1,5,,billing,2021-10-20 00:00:00,2022-01-01 00:00:00,manual correction
SUB000080,AC075,PLN0014,growth_2,USR00078,2021-06-04,,,,active,0,0,1,1,0.0,USD,monthly,50.0,0.0,,2021-08-09,starter_1,2,,crm,2021-06-04 00:00:00,2021-07-06 00:00:00,
SUB000081,AC036,PLN0050,basic_1,USR00375,2023-06-10,,,2023-06-17,canceled,0,1,1,1,81.0,USD,A,5.0,10.0,12.0,2024-08-05,basic_1,5,,crm,2023-06-10 00:00:00,2024-01-20 00:00:00,
SUB000082,AC158,PLN0036,basic_1,USR00012,2021-06-30,,2022-02-01,2021-07-07,canceled,0,0,1,0,223.62,USD,monthly,1.0,,12.0,2022-03-03,starter_1,5,,crm,2021-06-30 00:00:00,2021-07-14 00:00:00,
SUB000083,AC039,PLN0018,starter_1,USR00226,2022-04-21,2022-11-10,2022-11-10,,canceled,0,1,1,1,130.49,USD,A,,20.0,24.0,2022-06-14,starter_1,0,,crm,2022-04-21 00:00:00,2023-03-14 00:00:00,legacy migration
SUB000084,AC057,PLN0038,growth_2,USR00445,2023-05-09,,,,trial,1,1,1,1,0.0,USD,monthly,50.0,0.0,1.0,2023-07-11,basic_1,5,,billing,2023-05-09 00:00:00,2023-07-21 00:00:00,legacy migration
SUB000085,AC171,PLN0048,pro_2,USR00327,2023-04-23,,,,active,0,1,0,0,292.84,USD,A,,20.0,12.0,2024-06-06,basic_1,4,,billing,2023-04-23 00:00:00,2025-03-03 00:00:00,
SUB000086,AC049,PLN0008,enterprise_3,USR00870,2022-06-24,,,2022-07-08,trial,1,0,0,0,0.0,USD,M,5.0,10.0,12.0,2023-04-19,basic_1,1,,billing,2022-06-24 00:00:00,2022-11-10 00:00:00,
SUB000087,AC089,,enterprise_3,USR00711,2023-03-20,,,2023-04-03,active,1,1,0,1,290.84,USD,A,5.0,,1.0,2024-03-17,basic_1,1,,billing,2023-03-20 00:00:00,2024-07-12 00:00:00,
SUB000088,AC038,PLN0032,basic_1,USR00671,2022-02-02,2023-07-11,2023-07-11,,canceled,0,1,0,1,67.27,USD,M,,0.0,,2022-08-25,basic_1,1,,crm,2022-02-02 00:00:00,2023-12-04 00:00:00,legacy migration
SUB000089,AC156,PLN0010,enterprise_3,,2021-12-17,,,,canceled,1,0,0,0,274.98,USD,A,5.0,20.0,,2023-03-23,basic_1,2,,crm,2021-12-17 00:00:00,2023-04-17 00:00:00,manual correction
SUB000090,AC069,PLN0022,growth_2,USR00687,2023-04-28,,,,trial,0,0,0,1,0.0,USD,monthly,50.0,10.0,1.0,2023-11-23,starter_1,5,,billing,2023-04-28 00:00:00,2025-04-23 00:00:00,manual correction
SUB000091,AC156,PLN0003,basic_1,USR00690,2022-12-15,2023-05-22,2023-05-22,2023-01-14,trial,1,1,0,1,231.68,USD,M,5.0,0.0,24.0,2023-05-13,basic_1,1,,billing,2022-12-15 00:00:00,2024-11-20 00:00:00,legacy migration
SUB000092,AC081,PLN0023,starter_1,USR00708,2021-06-11,,,,trial,0,0,0,1,0.0,USD,monthly,50.0,10.0,24.0,2022-07-16,basic_1,2,,crm,2021-06-11 00:00:00,2021-11-25 00:00:00,
SUB000093,AC013,,starter_1,USR00545,2021-09-04,,2021-07-28,2021-09-11,canceled,0,0,0,1,206.74,USD,A,1.0,,1.0,2021-10-12,starter_1,4,,crm,2021-09-04 00:00:00,2023-10-19 00:00:00,
SUB000094,AC040,PLN0034,basic_1,USR00826,2023-04-03,,,,trial,1,1,0,1,297.28,USD,A,50.0,20.0,1.0,2024-08-07,basic_1,4,,crm,2023-04-03 00:00:00,2024-11-20 00:00:00,manual correction
SUB000095,AC015,PLN0037,starter_1,,2021-10-01,,,,trial,0,0,0,1,0.0,USD,monthly,1.0,10.0,,2022-07-10,basic_1,5,,billing,2021-10-01 00:00:00,2023-09-21 00:00:00,
SUB000096,AC086,PLN0055,enterprise_3,,2023-04-28,2023-04-15,2023-04-15,,canceled,0,0,1,0,64.56,USD,A,10.0,10.0,1.0,2024-03-13,starter_1,3,,crm,2023-04-28 00:00:00,2023-07-22 00:00:00,
SUB000097,AC071,PLN0036,starter_1,USR00342,2022-07-21,,,,trial,0,1,0,1,85.54,USD,A,10.0,20.0,24.0,2022-08-04,basic_1,1,,crm,2022-07-21 00:00:00,2024-02-05 00:00:00,legacy migration
SUB000098,AC093,PLN0001,starter_1,USR00588,2021-09-09,,,2021-10-09,trial,1,1,0,1,204.37,USD,A,5.0,0.0,24.0,2021-09-18,basic_1,2,,crm,2021-09-09 00:00:00,2022-10-27 00:00:00,
SUB000099,AC016,,enterprise_3,USR00358,2022-01-01,,,2022-01-31,active,1,1,0,0,0.0,USD,A,10.0,10.0,1.0,2022-04-16,basic_1,3,,crm,2022-01-01 00:00:00,2022-12-13 00:00:00,
SUB000100,AC128,PLN0011,starter_1,USR00449,2021-05-31,,,,trial,0,1,0,0,0.0,USD,M,1.0,10.0,1.0,2021-12-09,basic_1,3,,billing,2021-05-31 00:00:00,2022-02-04 00:00:00,
SUB000101,AC011,PLN0046,growth_2,USR00301,2022-12-15,,,,active,1,1,1,0,0.0,USD,M,,,24.0,2024-04-22,starter_1,4,,crm,2022-12-15 00:00:00,2023-11-18 00:00:00,
SUB000102,AC033,PLN0001,basic_1,,2021-09-22,,,,canceled,1,0,1,0,254.77,USD,A,50.0,20.0,12.0,2022-06-23,starter_1,2,,billing,2021-09-22 00:00:00,2023-05-21 00:00:00,
SUB000103,AC103,PLN0011,basic_1,,2021-04-13,,,,canceled,0,0,1,0,0.0,USD,monthly,,,12.0,2022-03-09,basic_1,1,,crm,2021-04-13 00:00:00,2023-01-05 00:00:00,
SUB000104,AC075,PLN0001,starter_1,USR00203,2022-03-23,,,,active,1,0,0,1,97.7,USD,A,50.0,20.0,12.0,2023-04-29,starter_1,0,,crm,2022-03-23 00:00:00,2024-05-14 00:00:00,
SUB000105,AC174,,enterprise_3,USR00260,2021-05-11,,2021-07-15,2021-05-25,active,0,0,1,1,0.0,USD,A,5.0,10.0,12.0,2021-06-25,basic_1,3,,crm,2021-05-11 00:00:00,2022-04-14 00:00:00,
SUB000106,AC173,PLN0018,pro_2,USR00343,2022-02-26,,2022-06-07,2022-03-12,active,1,1,1,0,0.0,USD,monthly,1.0,0.0,24.0,2023-06-10,starter_1,0,SUB002271,billing,2022-02-26 00:00:00,2023-09-18 00:00:00,legacy migration
SUB000107,AC097,PLN0041,basic_1,USR00478,2022-06-19,,,,trial,0,1,0,1,0.0,USD,A,,10.0,1.0,2022-10-04,starter_1,0,,billing,2022-06-19 00:00:00,2022-11-28 00:00:00,
SUB000108,AC017,,growth_2,,2023-01-31,,,,canceled,0,1,1,1,71.77,USD,A,,,,2024-03-17,starter_1,3,,billing,2023-01-31 00:00:00,2024-08-23 00:00:00,legacy migration
SUB000109,AC053,PLN0020,starter_1,USR00026,2023-01-16,,,2023-01-23,trial,0,0,1,0,0.0,USD,M,50.0,20.0,24.0,2024-04-29,starter_1,2,,crm,2023-01-16 00:00:00,2024-02-09 00:00:00,manual correction
SUB000110,AC034,,pro_2,USR00049,2022-07-08,,,2022-07-22,active,1,1,1,1,0.0,USD,A,,20.0,,2023-07-07,basic_1,2,,crm,2022-07-08 00:00:00,2022-11-25 00:00:00,
SUB000111,AC110,PLN0042,pro_2,,2022-04-12,,2022-10-12,,trial,0,1,0,1,200.32,USD,A,50.0,0.0,,2023-05-25,starter_1,0,,crm,2022-04-12 00:00:00,2022-11-07 00:00:00,
SUB000112,AC151,PLN0001,enterprise_3,USR00197,2021-09-21,,,2021-09-28,canceled,0,1,0,0,214.61,USD,A,,0.0,12.0,2021-12-23,basic_1,5,,billing,2021-09-21 00:00:00,2022-10-18 00:00:00,manual correction
SUB000113,AC017,,pro_2,,2021-02-21,,,,active,1,1,0,0,0.0,USD,A,5.0,20.0,1.0,2021-04-23,starter_1,0,,billing,2021-02-21 00:00:00,2023-03-07 00:00:00,manual correction
SUB000114,AC014,PLN0006,growth_2,USR00817,2022-07-07,,,,active,1,1,1,1,122.86,USD,A,10.0,,1.0,2022-10-16,starter_1,5,SUB001545,crm,2022-07-07 00:00:00,2023-03-17 00:00:00,
SUB000115,AC113,,pro_2,USR00110,2021-10-02,,,,active,1,0,1,0,169.93,USD,monthly,5.0,0.0,12.0,2022-03-24,basic_1,1,,crm,2021-10-02 00:00:00,2023-10-02 00:00:00,
SUB000116,AC057,PLN0012,basic_1,USR00898,2022-07-18,,2024-01-28,,trial,0,1,1,0,33.22,USD,M,1.0,10.0,24.0,2023-01-05,starter_1,5,,billing,2022-07-18 00:00:00,2023-02-21 00:00:00,manual correction
SUB000117,AC088,PLN0004,enterprise_3,USR00251,2023-01-31,,,,canceled,1,1,0,1,172.15,USD,monthly,1.0,20.0,24.0,2024-05-25,starter_1,3,,crm,2023-01-31 00:00:00,2024-04-21 00:00:00,
